Rank	NCT Number	Title	Acronym	Status	Study Results	Conditions	Interventions	Outcome Measures	Sponsor/Collaborators	Gender	Age	Phases	Enrollment	Funded Bys	Study Type	Study Designs	Other IDs	Start Date	Primary Completion Date	Completion Date	First Posted	Results First Posted	Last Update Posted	Locations	Study Documents	URL
11	NCT04435509	Management of Mild Cognitive Impairment Patients With Greek Mountain Tea - TEAMENTIA	TEAMENTIA	Unknown status	No Results Available	Mild Cognitive Impairment	Dietary Supplement: 1000+ Greek Mountain Tea|Other: Mediterranean Diet	Neuropsychological Assessment- Measurements to Assess General Cognitive Function|FUCAS-Measurements to Assess Daily Functionality|Letter & Category Fluency Test- Measurement to Assess Verbal Fluency and Learning|CDR- Measurements to Assess General Cognitive Function|MoCA- Measurements to Assess General Cognitive Function|CANTAB- Measurements to Assess General Cognitive Function|Clock Drawing test- Measurements to Assess General Cognitive Function|Logical Memory test- Measurements to Assess General Cognitive Function|Digit Span Forward & Backward test- Measurements to Assess General Cognitive Function|WAIS-R Digit Symbol- Measurements to Assess General Cognitive Function|TMT part A and B- Measurements to Assess General Cognitive Function|ADASCog-Measurements to Assess Daily Functionality|Functional Rating Scale for Dementia-Measurements to Assess Daily Functionality|Auditory Verbal Learning Test- Measurement to Assess Verbal Fluency and Learning|Boston Naming Test- Measurement to Assess Verbal Fluency and Learning|NeuroImaging|CSF - beta amyloid|CSF TAU-protein|Electroencephalography recording	Aristotle University Of Thessaloniki	All	55 Years to 85 Years   (Adult, Older Adult)	Not Applicable	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	31c/17-05-17	November 17, 2019	September 30, 2020	May 30, 2021	June 17, 2020		June 17, 2020	Greek Alzheimer's Association and Related Disorders, Thessaloníki, Thessaloniki, Greece		https://ClinicalTrials.gov/show/NCT04435509
12	NCT04515875	PRIMA Intervention for Adults With Mild Cognitive Impairment and Their Caregivers	PRIMA	Recruiting	No Results Available	Mild Cognitive Impairment	Behavioral: Daily Engagement Meaningful Activity (DEMA)|Behavioral: Information Support (IS)	Life satisfaction|Patient Health Questionnaire-9 Items (PHQ-9)|The General Anxiety Disorder 7-item (GAD-7)|Alzheimer Disease Cooperative Study MCI-Activities of Daily Living Inventory [ADCS-MCI-ADL Scale]|Relationship Assessment Scale (RAS)|Caregiving Outcomes Scale (COS)	Indiana University|National Institute of Nursing Research (NINR)	All	18 Years to 100 Years   (Adult, Older Adult)	Not Applicable	400	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Supportive Care	IUPREMA0822|1R01NR018162-01A1	December 13, 2021	December 31, 2024	June 30, 2025	August 17, 2020		February 28, 2022	Indiana University Alzhemier Disease Research Center, Indianapolis, Indiana, United States		https://ClinicalTrials.gov/show/NCT04515875
13	NCT03938051	Multi-component Exercise on Mild Cognitive Impairment In Elderly Population		Completed	No Results Available	Mild Cognitive Impairment	Other: Experimental group|Other: Control group	Mini mental state examination (MMSE)|Trail making test (TMT) A & B|Montreal cognitive assessment (MoCA)	Riphah International University	All	55 Years and older   (Adult, Older Adult)	Not Applicable	51	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Investigator)|Primary Purpose: Treatment	RiphahIU Hafsah Gul Khattak	January 15, 2019	June 30, 2019	July 12, 2019	May 6, 2019		September 6, 2019	Riphah International University, Islamabad, Federal, Pakistan		https://ClinicalTrials.gov/show/NCT03938051
14	NCT01552265	Shanghai Mild Cognitive Impairment Cohort Study		Completed	No Results Available	Mild Cognitive Impairment		Time to Conversion from MCI to "Probable AD Dementia"|Time to Conversion from MCI to "Possible AD Dementia" or "Probable AD Dementia"|Time to Conversion from MCI to "All-cause Dementia"|Overall survival|Changes in Neuropsychological examinations|Changes in MRI	Translational Research Center for Medical Innovation, Kobe, Hyogo, Japan|Fudan University	All	up to 90 Years   (Child, Adult, Older Adult)		400	Other	Observational	Observational Model: Cohort|Time Perspective: Prospective	TRIAD1109	February 2012	February 2017	July 31, 2017	March 13, 2012		April 25, 2018	Department of Neurology, Huashan Hospital, Fudan University, Shanghai, Shanghai, China		https://ClinicalTrials.gov/show/NCT01552265
15	NCT04943003	Study of Neurobiological Predictors of Response to Non-invasive Neurostimulation and Genetic Susceptibility to Dementia in Patients With Amnestic Mild Cognitive Impairment		Not yet recruiting	No Results Available	Mild Cognitive Impairment	Device: Transcranial Direct Current Stimulation (tDCS)	Mini Mental State Examination (MMSE) (T0)|Mini Mental State Examination (MMSE) (T1)|Digit Span Memory Test|Beck Depression Scale II and Beck Anxiety Inventory|Genetic susceptibility (ApoE)|Electroencephalography|Electroencephalography (EEG)|Magnetic Resonance Imaging-MRI	Suellen Marinho Andrade|Federal University of Paraíba	All	65 Years to 85 Years   (Older Adult)	Not Applicable	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment	tDCS in MCI	August 26, 2021	December 25, 2022	December 25, 2024	June 29, 2021		July 27, 2021	Federal University of Paraíba,Department of Psychology, João Pessoa, Paraíba, Brazil		https://ClinicalTrials.gov/show/NCT04943003
16	NCT01448148	Measuring the Impact of Cognitive and Psychosocial Interventions in Persons With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment	Other: Cognitive intervention|Other: Psychosocial intervention	Change in memory measures|generalization of therapeutic gains to everyday life|Change in psychological health measures	Centre de Recherche de l'Institut Universitaire de Geriatrie de Montreal|Laval University	All	55 Years and older   (Adult, Older Adult)	Not Applicable	145	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	CRIUGM-002	November 2011	January 2016	January 2016	October 7, 2011		January 27, 2016	Centre de recherche de l'Institut universitaire de geriatrie de Montreal, Montreal, Quebec, Canada|Centre hospitalier Robert-Giffard, Quebec, Canada		https://ClinicalTrials.gov/show/NCT01448148
17	NCT01812213	Beta-Amyloid Imaging With [18F]NAV4694 Positron Emission Tomography (PET) in Predicting Progression to Alzheimer's Disease (AD) in Subjects With Mild Cognitive Impairment (MCI)	NAV4-04	Unknown status	No Results Available	Mild Cognitive Impairment	Drug: [18F]NAV4694	Incidence of Mild Cognitive Impairment Progression to Alzheimer's Disease|Incidence of [18F]NAV4694 PET Positive scans at 18 months compared to baseline|Change in Neuro-cognitive Test Battery Scores at 6 months compared to baseline|Change in Neuro-cognitive Test Battery Scores at 12 months compared to baseline|Change in Neuro-cognitive Test Battery Scores at 18 months compared to baseline|Change in Neuro-cognitive Test Battery Scores at 24 months compared to baseline|Change in Neuro-cognitive Test Battery Scores at 30 months compared to baseline|Change in Neuro-cognitive Test Battery Scores at 36 months compared to baseline|Change in SUVR scores at 18 months compared to baseline|Incidence of Adverse Events post baseline	Navidea Biopharmaceuticals	All	55 Years to 99 Years   (Adult, Older Adult)	Phase 2	120	Industry	Interventional	Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Diagnostic	NAV4-04	March 2013	June 2018	August 2018	March 18, 2013		July 26, 2017	Banner Sun Health Research Institute, Sun City, Arizona, United States|Galiz Research, Hialeah, Florida, United States|Mt. Sinai Wien Center for Alzheimer's Disease, Miami Beach, Florida, United States|Compass Research, Orlando, Florida, United States|Rush University Medical Center, Chicago, Illinois, United States|SIU School of Medicine, Springfield, Illinois, United States|McLean Hospital, Belmont, Massachusetts, United States|Qunicy Medical Center, Alzheimer's Disease Center, Quincy, Massachusetts, United States|Neurological Associates of Albany, Albany, New York, United States|Albert Einstein College of Medicine, The Bronx, New York, United States|Wake Forest School of Medicine, Winston-Salem, North Carolina, United States		https://ClinicalTrials.gov/show/NCT01812213
18	NCT04515563	Effectiveness of Walking Exercise in Improving Cognitive Function in Older Adults With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment	Behavioral: Stretching exercise|Behavioral: Low-frequency, moderate-intensity walking group|Behavioral: High-frequency, moderate-intensity walking group|Behavioral: Low-frequency, vigorous-intensity walking group|Behavioral: High-frequency, vigorous-intensity walking group	Global cognition-Hong Kong Montreal Cognitive Assessment (HK-MoCA) score|Objective cognitive score|Working memory-Digit Span test|Working memory-Verbal Fluency Test|Executive function-Stroop test|Executive function-Trail Making test|Subjective cognitive report|Remission rate-Chinese Abbreviated Mild Cognitive Impairment Test (CAMCI)|Remission rate-Hong Kong Montreal Cognitive Assessment (HK-MoCA)|VO2max|Body fat mass|Lean mass|Bone mineral density|Habitual sleep|Quality of Life-12-item Short Form Survey (SF-12)|Depression level|Mental health|Anxiety level|Physical activity|Balance performance	The University of Hong Kong	All	50 Years and older   (Adult, Older Adult)	Not Applicable	50	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	RF-3030059835-007	March 1, 2020	September 1, 2021	September 1, 2021	August 17, 2020		November 11, 2021	Li Kai Shing Faculty of Medicine, Hong Kong, Southern District, Hong Kong		https://ClinicalTrials.gov/show/NCT04515563
19	NCT05029765	Effect of Mediterranean Diet and Probiotics in Adults With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment	Dietary Supplement: Mediterranean diet|Dietary Supplement: Healthy diet (WHO recommendations)|Dietary Supplement: Placebo|Dietary Supplement: Biopolis-MIX42	Cognitive change|Microbiota pattern|Endotoxemia levels|Change in inflammatory marker|Change in oxidative stress parameters|Neurofunctional change|Modulation of Microbiota-gut-nervous system|Change in cytokine levels|Neuropeptides modulation	Pablo Pérez Martínez|Maimónides Biomedical Research Institute of Córdoba	All	60 Years and older   (Adult, Older Adult)	Not Applicable	50	Other	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment	PI16/01777	January 26, 2017	March 5, 2020	March 5, 2020	September 1, 2021		September 1, 2021	Reina Sofia University Hospital, Cordoba, Spain		https://ClinicalTrials.gov/show/NCT05029765
20	NCT04959383	Exergame Balance Training for Patients With Mild Cognitive Impairment		Recruiting	No Results Available	Mild Cognitive Impairment	Other: Low complexity Exergaming group|Other: Moderate complexity Exergaming group|Other: High complexity Exergaming group|Other: Control Group	Stroop test|Trails Test|Digit Span Forward and Backward|Montreal Cognitive Assessment|Alzheimer's disease Assessment Scale|Time Up and Go Test|Mini Brief Balance Evaluation Systems|Smartphone Gait and Balance Application|Force Plate|Gait Speed Assessment|Electroencephalography|Blood Biomarkers|Voice Recording	Riphah International University	All	55 Years to 75 Years   (Adult, Older Adult)	Not Applicable	90	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment	REC/1954 Aruba Saeed	September 23, 2021	December 30, 2022	December 30, 2022	July 13, 2021		September 30, 2021	Railway General Hospital, Rawalpindi, Pakistan		https://ClinicalTrials.gov/show/NCT04959383
21	NCT03619577	The Effectiveness of Combining Physical Exercise and Cognitive Training for Individuals With Mild Cognitive Impairment		Enrolling by invitation	No Results Available	Mild Cognitive Impairment	Behavioral: Sequential training	Change scores of the Montreal Cognitive Assessment (MoCA)|Change scores of the Stroop test|Change scores of the Dual-task test|Change scores of the Timed up and go (TUG) test|Change scores of the Wechsler Memory Scale (WMS)|Change scores of the Lawton Instrumental Activities of Daily Living Scale (IADL)|Change scores of the Wechsler Adult Intelligence Scale (WAIS)|Change scores of Memory complaint questionnaire|Change scores of Spatial Span Test|Change scores of the short form of the Geriatric Depression Scale (GDS-SF)|Change scores of the Community Integration Questionnaire (CIQ)|Change scores of the Everyday Cognition scales (ECog)-12 items	Chang Gung Memorial Hospital	All	55 Years to 95 Years   (Adult, Older Adult)	Not Applicable	200	Other	Interventional	Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment	201711EM006	January 30, 2018	June 2022	June 2022	August 8, 2018		May 17, 2021	Chang Gung Memorial Hospital, Taoyuan, Taiwan		https://ClinicalTrials.gov/show/NCT03619577
22	NCT03362996	Management of Mild Cognitive Impairment Patients With Extra Virgin Olive Oil - MICOIL	MICOIL	Unknown status	No Results Available	Mild Cognitive Impairment	Dietary Supplement: Freshly-Pressed Extra Virgin Olive Oil|Combination Product: extra virgin olive oil|Other: mediterranean diet	Neuropsychological Assessment- Measurements to Assess General Cognitive Function|FUCAS-Measurements to Assess Daily Functionality|Letter & Category Fluency Test- Measurement to Assess Verbal Fluency and Learning|CDR- Measurements to Assess General Cognitive Function|MoCA- Measurements to Assess General Cognitive Function|CANTAB- Measurements to Assess General Cognitive Function|Clock Drawing test- Measurements to Assess General Cognitive Function|Logical Memory test- Measurements to Assess General Cognitive Function|Digit Span Forward & Backward test- Measurements to Assess General Cognitive Function|WAIS-R Digit Symbol- Measurements to Assess General Cognitive Function|TMT part A and B- Measurements to Assess General Cognitive Function|ADASCog-Measurements to Assess Daily Functionality|Functional Rating Scale for Dementia-Measurements to Assess Daily Functionality|Auditory Verbal Learning Test- Measurement to Assess Verbal Fluency and Learning|Boston Naming Test- Measurement to Assess Verbal Fluency and Learning|NeuroImaging|CSF - beta amyloid|CSF TAU-protein|Neurophysiology and ERPs|Electroencephalography recording	Greek Alzheimer's Association and Related Disorders	All	55 Years to 85 Years   (Adult, Older Adult)	Phase 2	150	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	25/201614	November 9, 2016	February 15, 2018	May 15, 2019	December 5, 2017		January 8, 2018	Greek Association of Alzheimer's Disease and Related Disordeers, Thessaloniki, Greece		https://ClinicalTrials.gov/show/NCT03362996
23	NCT04436614	Management of Mild Cognitive Impairment Patients With Aloe and Crocus - BALSAM	BALSAM	Completed	No Results Available	Mild Cognitive Impairment	Dietary Supplement: Dietary Supplement:Aloe Vera with Crocus (saffron)|Dietary Supplement: Dietary Supplement:Aloe Vera (simple)|Dietary Supplement: Dietary Supplement:Mediterranean Diet	Neuropsychological Assessment- Measurements to Assess General Cognitive Function.|FUCAS-Measurements to Assess Daily Functionality|Letter & Category Fluency Test- Measurement to Assess Verbal Fluency and Learning|CDR- Measurements to Assess General Cognitive Function|MoCA- Measurements to Assess General Cognitive Function|Clock Drawing test- Measurements to Assess General Cognitive Function|Logical Memory test- Measurements to Assess General Cognitive Function|Digit Span Forward & Backward test- Measurements to Assess General Cognitive Function|WAIS-R Digit Symbol- Measurements to Assess General Cognitive Function|TMT part A and B- Measurements to Assess General Cognitive Function|ADASCog-Measurements to Assess Daily Functionality|Functional Rating Scale for Dementia-Measurements to Assess Daily Functionality|Auditory Verbal Learning Test- Measurement to Assess Verbal Fluency and Learning|NeuroImaging|CSF - beta amyloid|CSF TAU-protein|Electroencephalography recording	Aristotle University Of Thessaloniki	All	55 Years to 85 Years   (Adult, Older Adult)	Not Applicable	100	Other	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Participant)|Primary Purpose: Treatment	31b/17-05-17	December 17, 2017	May 30, 2018	October 30, 2019	June 18, 2020		June 22, 2020	Greek Alzheimer's Association and Related Disorders, Thessaloníki, Thessaloniki, Greece		https://ClinicalTrials.gov/show/NCT04436614
24	NCT01146717	Aerobic Exercise Training in Mild Cognitive Impairment Study	AETMCI	Completed	No Results Available	Mild Cognitive Impairment	Behavioral: Exercise|Behavioral: Balance training	Cognitive function|Cerebrovascular function|Brain tissue volume and white matter integrity	University of Texas Southwestern Medical Center|National Institute on Aging (NIA)	All	55 Years to 80 Years   (Adult, Older Adult)	Not Applicable	80	Other|NIH	Interventional	Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Prevention	032009-065|R01AG033106-01A2	March 2010	September 2016	September 2016	June 17, 2010		February 7, 2020	UT Southwestern ADC/Institute for Exercise and Environmental Medicine, Dallas, Texas, United States		https://ClinicalTrials.gov/show/NCT01146717
25	NCT03359902	Treatment of Mild Cognitive Impairment With Transcutaneous Vagal Nerve Stimulation	TVNS MCI	Recruiting	No Results Available	Mild Cognitive Impairment	Device: Transcutaneous vagal nerve stimulation|Device: Sham stimulation	Rey AVLT	University of Florida|Department of Health and Human Services|National Institute on Aging (NIA)	All	60 Years to 89 Years   (Adult, Older Adult)	Not Applicable	250	Other|U.S. Fed|NIH	Interventional	Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Basic Science	IRB201600730 -N-A|R21AG054876	January 1, 2018	May 31, 2022	May 31, 2022	December 2, 2017		August 2, 2021	HealthStreet, Gainesville, Florida, United States|Malcom Randall VA Medical Center, Gainesville, Florida, United States|University of Florida, Gainesville, Florida, United States		https://ClinicalTrials.gov/show/NCT03359902
26	NCT01927653	Imaging the Neural Network Connectivity on Patients With Mild Cognitive Impairment		Completed	No Results Available	Mild Cognitive Impairment		differentiation of MCI using diffusion MRI|Prognosis value of diffusion MRI	Chang Gung Memorial Hospital	All	55 Years to 70 Years   (Adult, Older Adult)		108	Other	Observational	Observational Model: Case-Control|Time Perspective: Prospective	98-3628B	January 2011	December 2016	February 2017	August 22, 2013		July 18, 2018	ChangGung Memorial Hospital, Linkou, Tao Yuan, Taiwan		https://ClinicalTrials.gov/show/NCT01927653
