intervention_name_original	intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_source	target_gene_link	eric_review_target	target_gene_comments	best_name	regulatory_status	comment	priority	db_target	db_status	incl_count
009-a0	009-a0 (Apomorphine)	drug	1	NCT04157933	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			1
009-a1	009-a1 (Apomorphine)	drug	1	NCT04157933	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			1
009-a2	009-a2 (Apomorphine)	drug	1	NCT04157933	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			1
009-a3	009-a3 (Apomorphine)	drug	1	NCT04157933	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			1
009-b1 (active --> placebo) crossover	009-b1 (active --> placebo) crossover	drug	1	NCT04157933	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			1
009-b2 (placebo --> active) crossover	009-b2 (placebo --> active) crossover	drug	1	NCT04157933	molecular	DRD4,DRD2,DRD3	DB	https://go.drugbank.com/drugs/DB00714			apomorphine	approved		FALSE			1
1 ma hd-tdcs	1 ma hd-tdcs	device	1	NCT03875326	device									FALSE			1
1 mg qd to 15 mg qd pf-06649751	1 mg qd to 15 mg qd pf-06649751	drug	1	NCT03185481	molecular	DRD1,DRD5	Pubmed	https://www.ncbi.nlm.nih.gov/pubmed/32201505	2		tavapadon	experimental		FALSE			1
1 mg qd to 7 mg qd pf-06649751 (if de-escalated in parent study)	1 mg qd to 7 mg qd pf-06649751	drug	1	NCT03185481	molecular	DRD1,DRD5	Pubmed	https://www.ncbi.nlm.nih.gov/pubmed/32201505	2		tavapadon	experimental		FALSE			1
1 mg tropicamide	1 mg tropicamide	drug	1	NCT00761137	molecular	CHRM4	DB	https://go.drugbank.com/drugs/DB00809			tropicamide	approved		FALSE			1
1 mo baseline before visual cue	Laser Cane	device	1	NCT00320242	device									FALSE			1
1-month of 60-40 mct oil	1-month of 60-40 mct oil	dietary supplement	1	NCT02709356	molecular	unknown			2		mct oil	supplement		FALSE			1
1-month of c8 mct oil	1-month of c8 mct oil	dietary supplement	1	NCT02709356	molecular	unknown			2		mct oil	supplement		FALSE			1
1-month pilot trial of closed-loop vs. open-loop stimulation	1-month pilot trial of closed-loop DBS vs. open-loop stimulation	device	1	NCT03582891	device									FALSE			1
1. amyloid pet；2. t807 pet	1. amyloid pet；2. t807 pet	drug	1	NCT03969732	none					radiopharmaceutical				FALSE			0
1. tesofensine (ns 2330)	1. tesofensine (ns 2330)	drug	1	NCT00148512	molecular	unknown	DB	https://go.drugbank.com/drugs/DB06156		DrugBank says questionable	tesofensine	experimental		FALSE			1
1.0 mg lu ae04621	1.0 mg lu ae04621	drug	1	NCT02649608	molecular	DRD1,DRD2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/32112042/	2		ae04621	experimental		FALSE			1
1.0 mg rasagiline mesylate	1.0 mg rasagiline mesylate	drug	1	NCT00203034	molecular	MAOB,BCL2	DB	https://go.drugbank.com/drugs/DB01367			rasagiline	approved		FALSE			1
1.0 miu il-2 per day	1.0 miu il-2 per day	drug	1	NCT02059759	molecular	IL2RA,IL2RB,IL2RG	DB	https://go.drugbank.com/drugs/DB00041			il-2	approved		FALSE			1
1.2 mg lu ae04621	1.2 mg lu ae04621	drug	1	NCT02649608	molecular	DRD1,DRD2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/32112042/	2		ae04621	experimental		FALSE			1
10 daily fractions of 2 gy	10 daily fractions of 2 gy	radiation	1	NCT02359864	procedure									FALSE			1
10 gy in 5 daily fractions	10 gy in 5 daily fractions	radiation	1	NCT02769000	procedure									FALSE			1
10 mg ir in study 326	10 mg ir donepezil (immediate release)	drug	1	NCT00566501	molecular	ACHE	DB	https://go.drugbank.com/drugs/DB00843	2		donepezil	approved		FALSE			1
10% unweighed bwstt	10% unweighed bwstt	behavioral	1	NCT03799887	behavioral									FALSE			1
100 million cells allogeneic hmsc	100 million cells allogeneic hmsc	biological	1	NCT04040348	procedure					none				FALSE			1
1072nm infrared photobiomodulation	1072nm infrared photobiomodulation	device	1	NCT01059877	device									FALSE			1
10hz tms with h2 coil to prefrontal and parieto-temporal cortex	10hz tms with h2 coil to prefrontal and parieto-temporal cortex	device	1	NCT00753662	device									FALSE			1
111in ibritumomab	111in ibritumomab	drug	1	NCT01490723	none	MS4A1				radiopharmaceutical		approved		FALSE			1
11c-er176	11c-er176	drug	2	NCT03958630	none					radiopharmaceutical				FALSE			0
11c-jnj-63779586	11c-jnj-63779586	drug	1	NCT03089918	none					radiopharmaceutical				FALSE			0
11c-l-deprenyl-d2	11c-l-deprenyl-d2	drug	1	NCT01701089	none					radiopharmaceutical				FALSE			1
11c-methylreboxetine	11c-methylreboxetine	drug	1	NCT03648905	none					radiopharmaceutical				FALSE			0
11c-pbr28	11c-pbr28	drug	2	NCT02831283	none					radiopharmaceutical				FALSE			0
11c-pib	11c-pib	drug	5	NCT03757910	none					radiopharmaceutical				FALSE			0
11c-pib pet scan	11c-pib pet scan	radiation	1	NCT00811122	none					radiopharmaceutical				FALSE			0
11c-ucb-j pet-ct	11c-ucb-j pet-ct	other	1	NCT04243304	none					radiopharmaceutical				FALSE			0
12-month study visit	12-month study visit	behavioral	1	NCT03882879	none									FALSE			1
123 i - altropane®	123 i - altropane®	drug	1	NCT00724906	none					radiopharmaceutical				FALSE			0
123-i mni-168	123-i mni-168	drug	1	NCT00870519	none					radiopharmaceutical				FALSE			0
123-i mni-187 injection and imaging procedures	123-i mni-187 injection and imaging procedures	drug	1	NCT00456417	none					radiopharmaceutical				FALSE			0
123-i mni-340	123-i mni-340	drug	1	NCT00968097	none					radiopharmaceutical				FALSE			0
123i-mibg	123i-mibg	diagnostic test	1	NCT03094910	none					radiopharmaceutical				FALSE			0
13n-ammonia	13n-ammonia	drug	1	NCT03648905	none					radiopharmaceutical				FALSE			0
15 mg qd de-escalated to 7 mg qd pf-06649751 in parent study remain at 7 mg qd	15 mg qd de-escalated to 7 mg qd pf-06649751 in parent study remain at 7 mg qd	drug	1	NCT03185481	molecular	DRD1,DRD5	Pubmed	https://www.ncbi.nlm.nih.gov/pubmed/32201505	2		tavapadon	experimental		FALSE			1
15 mg qd pf-06649751	15 mg qd pf-06649751	drug	1	NCT03185481	molecular	DRD1,DRD5	Pubmed	https://www.ncbi.nlm.nih.gov/pubmed/32201505	2		tavapadon	experimental		FALSE			1
15mg t3d-959	15mg t3d-959	drug	1	NCT04251182	molecular	PPARD,PPARG	Alzforum	https://www.alzforum.org/therapeutics/t3d-959	2		t3d-959	experimental		FALSE			1
18-f-flortaucipir	18-f-flortaucipir	diagnostic test	1	NCT03821857	none					radiopharmaceutical				FALSE			0
18-fdg pet	18-fdg pet	radiation	1	NCT01325259	none					radiopharmaceutical				FALSE			0
18-fdg-pet	18-fdg-pet	device	1	NCT03150290	none					radiopharmaceutical				FALSE			0
18-fdtbz	18-fdtbz	drug	1	NCT02599753	none					radiopharmaceutical				FALSE			0
18f- dtbz	18f- dtbz	drug	1	NCT02039024	none					radiopharmaceutical				FALSE			0
18f-av-133	18f-av-133	drug	2	NCT01550484	none					radiopharmaceutical				FALSE			0
18f-av-1451	18f-av-1451	drug	15	NCT03287765	none					radiopharmaceutical				FALSE			1
18f-av-1451 (tau-pet tracer)	18f-av-1451 (tau-pet tracer)	other	1	NCT02958670	none					radiopharmaceutical				FALSE			0
18f-av-45	18f-av-45	drug	2	NCT03040713	none					radiopharmaceutical				FALSE			0
18f-dopa	18f-dopa	drug	2	NCT03042416	none					radiopharmaceutical				FALSE			0
18f-dopa pet	18f-dopa pet	drug	1	NCT03973502	none					radiopharmaceutical				FALSE			0
18f-dopamne	18f-dopamne	drug	1	NCT03648905	none					radiopharmaceutical				FALSE			0
18f-dtbz	18f-dtbz	drug	3	NCT01759888	none					radiopharmaceutical				FALSE			0
18f-dtbz av-133	18f-dtbz av-133	drug	1	NCT01556100	none					radiopharmaceutical				FALSE			1
18f-fdg	18f-fdg	drug	2	NCT01824056	none					radiopharmaceutical				FALSE			0
18f-florbetaben	18f-florbetaben	drug	2	NCT02831283	none					radiopharmaceutical				FALSE			0
18f-florbetaben (fbb)	18f-florbetaben (fbb)	drug	1	NCT03057938	none					radiopharmaceutical				FALSE			0
18f-florbetaben pet	18f-florbetaben pet	device	1	NCT02556502	none					radiopharmaceutical				FALSE			0
18f-florbetapir	18f-florbetapir	device	1	NCT03641768	none					radiopharmaceutical				FALSE			0
18f-florbetapir	18f-florbetapir	drug	1	NCT04305210	none					radiopharmaceutical				FALSE			0
18f-flutemetamol	18f-flutemetamol	drug	1	NCT01202994	none					radiopharmaceutical				FALSE			0
18f-mk-6240	18f-mk-6240	drug	3	NCT03757910	none					radiopharmaceutical				FALSE			0
18f-pe2i pet-mr	18f-pe2i pet-mr	other	1	NCT04243304	none					radiopharmaceutical				FALSE			0
18f-pm-pbb3	18f-pm-pbb3	drug	1	NCT04248270	none					radiopharmaceutical				FALSE			0
18f-thk-5351	18f-thk-5351	drug	2	NCT03024944	none					radiopharmaceutical				FALSE			0
18f-x pet scan	18f-x pet scan	radiation	1	NCT00563537	none					radiopharmaceutical				FALSE			1
18fav45	18fav45	drug	1	NCT01962753	none					radiopharmaceutical				FALSE			0
1h-129xe dual-tuned quadrature head coil	1h-129xe dual-tuned quadrature head coil	device	1	NCT02638519	device									FALSE			0
1hz tms with h2 coil	1hz tms with h2 coil	device	1	NCT00753662	device									FALSE			1
2 ma hd-tdcs	2 ma hd-tdcs	device	1	NCT03875326	device									FALSE			1
2 mg perampanel	2 mg perampanel	drug	1	NCT00368108	molecular	GRIA1	DB	https://go.drugbank.com/drugs/DB08883	2		perampanel	approved		FALSE			1
2 mg/day	2 mg/day aripiprazole	drug	1	NCT02168920	molecular	DRD2,HTR2A	DB	https://go.drugbank.com/drugs/DB01238	2		aripiprazole	approved	repurposed	FALSE			1
2 months control condition - 4 months chariot-flash	2 months control condition - 4 months chariot-flash	behavioral	1	NCT02933177	behavioral				2					FALSE			1
2 night polysomnography	2 night polysomnography	other	1	NCT01650454	none									FALSE			1
2-hour period of hypoxia	2-hour period of hypoxia	other	1	NCT02891343	behavioral									FALSE			0
2-hydroxypropyl-beta-cyclodextrin	2-hydroxypropyl-beta-cyclodextrin	drug	1	NCT03471143	molecular						2-hydroxypropyl-beta-cyclodextrin	experimental		FALSE			0
2.0 miu il-2 per day	2.0 miu il-2 per day	drug	1	NCT02059759	molecular	IL2RA,IL2RB,IL2RG	DB	https://go.drugbank.com/drugs/DB00041			il-2	experimental		FALSE			1
20 gy in 10 daily fractions	20 gy in 10 daily fractions	radiation	1	NCT02769000	procedure									FALSE			1
20 mg bid of pf-02545920	20 mg bid of pf-02545920	drug	1	NCT02342548	molecular	unknown	DB	https://go.drugbank.com/drugs/DB08387		DrugBank says questionable	mardepodect	experimental		FALSE			1
20% unweighed bwstt	20% unweighed bwstt	behavioral	1	NCT03799887	behavioral									FALSE			1
200 mg bia 6-512	200 mg bia 6-512	drug	1	NCT03095105	molecular						bia 6-512	supplements		FALSE			0
200 million cells allogeneic hmsc	200 million cells allogeneic hmsc	biological	1	NCT04040348	procedure									FALSE			1
20mg daily citalopram	20mg daily citalopram	drug	1	NCT00271596	molecular	SLC6A4	DB	https://go.drugbank.com/drugs/DB00215	2		citalopram	approved		FALSE			1
23 mg sr in study 326	23 mg donepezil sustained release (sr)	drug	1	NCT00566501	molecular	ACHE	DB	https://go.drugbank.com/drugs/DB00843	2		donepezil	approved		FALSE			1
240mg amantadine hcl er tablets	240mg amantadine hcl er tablets	drug	1	NCT02153645	molecular	GRIN3A,DRD2	DB	https://go.drugbank.com/drugs/DB00915			amantadine	approved		FALSE			1
25 mg bia9 1067	25 mg bia 9-1067 (Opicapone)	drug	1	NCT04265027	molecular	COMT					opicapone	approved		FALSE			0
25 mg ongentys	25 mg ongentys  (Opicapone)	drug	1	NCT04265027	molecular	COMT					opicapone	approved		FALSE			0
250 mg ck-2017357	250 mg ck-2017357	drug	1	NCT01089010	molecular	TNNC1,TNNC2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/22344294/	2		tirasemtiv	experimental		FALSE			1
250mg rilapladib	250mg rilapladib	drug	1	NCT01428453	molecular	PLA2G7	DB	https://go.drugbank.com/drugs/DB05119			rilapladib	experimental		FALSE			1
3 home visits made by a psychologist	3 home visits made by a psychologist	other	1	NCT03606798	behavioral									FALSE			1
3 ma hd-tdcs	3 ma hd-tdcs	device	1	NCT03875326	device									FALSE			1
3 mg qd to 15 mg qd pf-06649751	3 mg qd to 15 mg qd pf-06649751	drug	1	NCT03185481	molecular	DRD1,DRD5	Pubmed	https://www.ncbi.nlm.nih.gov/pubmed/32201505	2		tavapadon	experimental		FALSE			1
3 mg qd to 7 mg qd pf-06649751 (de-escalated in parent study)	3 mg qd to 7 mg qd pf-06649751	drug	1	NCT03185481	molecular	DRD1,DRD5	Pubmed	https://www.ncbi.nlm.nih.gov/pubmed/32201505	2		tavapadon	experimental		FALSE			1
3 mg tropicamide	3 mg tropicamide	drug	1	NCT00761137	molecular	CHRM4	DB	https://go.drugbank.com/drugs/DB00809			tropicamide	approved		FALSE			1
3 mg/day	3 mg/day aripiprazole	drug	1	NCT02168920	molecular	DRD2,HTR2A	DB	https://go.drugbank.com/drugs/DB01238	2		aripiprazole	approved		FALSE			1
3 months exercise intervention program	3 months exercise intervention program	behavioral	1	NCT02253732	behavioral									FALSE			1
3 preventive home visits by a nurse	3 preventive home visits by a nurse	other	1	NCT01700556	none									FALSE			0
30 mg t3d-959	30 mg t3d-959	drug	1	NCT04251182	molecular	PPARD,PPARG	Alzforum	https://www.alzforum.org/therapeutics/t3d-959	2		t3d-959	experimental		FALSE			1
31-phosphorus rmn spectroscopy	31-phosphorus rmn spectroscopy	other	1	NCT01696708	other									FALSE			0
31p-mr spectroscopy	31p-mr spectroscopy	other	1	NCT01359774	other									FALSE			0
31p-rmn spectroscopy	31p-rmn spectroscopy	other	1	NCT01359774	other									FALSE			0
32 channels deep brain stimulator	32 channels deep brain stimulator	device	1	NCT02402569	device									FALSE			1
320mg amantadine hcl er tablets	320mg amantadine hcl er tablets	drug	1	NCT02153645	molecular	GRIN3A,DRD2	DB	https://go.drugbank.com/drugs/DB00915			amantadine	approved	DB	FALSE			1
350 mg donepezil transdermal patch	350 mg donepezil transdermal patch	drug	1	NCT00916383	molecular	ACHE	DB	https://go.drugbank.com/drugs/DB00843	2		donepezil	approved	DB	FALSE			1
3aps	3aps	drug	2	NCT00088673	molecular	unknown	DB	https://go.drugbank.com/drugs/DB06527	2		tramiprosate	experimental		FALSE			2
3t brain scan	3t brain scan	device - diagnostic test	1	NCT03389698	none									FALSE			0
3t mri	3t mri	device	1	NCT03070821	none									FALSE			1
3t mri compatible and lfp recordable g106r of beijing pins medical.	3t mri compatible and lfp recordable g106r of beijing pins medical.	device	1	NCT02937727	none									FALSE			1
4 mg perampanel	4 mg perampanel	drug	1	NCT00368108	molecular	GRIA1	DB	https://go.drugbank.com/drugs/DB08883			perampanel	approved	DB	FALSE			1
4 months control condition-2 months chariot flash	4 months control condition-2 months chariot flash	behavioral	1	NCT02933177	behavioral									FALSE			1
40 mg glatiramer acetate	40 mg glatiramer acetate	drug	1	NCT00326625	molecular	unknown	DB	https://go.drugbank.com/drugs/DB05259		DrugBank says questionable	glatiramer	approved	DB	FALSE			1
400mg lm11a-31-bhs	400mg lm11a-31-bhs	drug	1	NCT03069014	molecular	NGFR	Alzforum	https://www.alzforum.org/therapeutics/lm11a-31-bhs	2	small-molecule ligand of the p75 neurotrophic receptor	LM11A-31	experimental		FALSE			1
45 mg t3d-959	45 mg t3d-959	drug	1	NCT04251182	molecular	PPARD,PPARG	Alzforum	https://www.alzforum.org/therapeutics/t3d-959	2		t3d-959	experimental		FALSE			1
5 daily fractions of 2 gy	5 daily fractions of 2 gy	radiation	1	NCT02359864	procedure									FALSE			1
5% glucose water solution	5% glucose water solution	drug	1	NCT03039673	placebo									FALSE			1
50 hz repetitive tms	50 hz repetitive tms	procedure	1	NCT00977184	device									FALSE			1
50 mg bia 9 1067	50 mg bia 9 1067	drug	1	NCT04265027	molecular	COMT					opicapone	approved	DB	FALSE			0
50 mg ongentys	50 mg ongentys	drug	1	NCT04265027	molecular	COMT					opicapone	approved	DB	FALSE			0
500 mg ck-2017357	500 mg ck-2017357	drug	1	NCT01089010	molecular	TNNC1,TNNC2	Pubmed	https://pubmed.ncbi.nlm.nih.gov/22344294/	2		tirasemtiv	experimental		FALSE			1
5000 voldyne ® sherwood medical, usa	5000 voldyne ® sherwood medical, usa	device	1	NCT01932684	device									FALSE			1
6 mg/day	aripiprazole 6 mg/day	drug	1	NCT02168920	molecular	DRD2,HTR2A	DB	https://go.drugbank.com/drugs/DB01238	2		aripiprazole	approved	DB	FALSE			1
6-month study visit	6-month study visit	behavioral	1	NCT03882879	none									FALSE			1
7 mg qd to 15 mg qd pf-06649751	7 mg qd to 15 mg qd pf-06649751	drug	1	NCT03185481	molecular	DRD1,DRD5	Pubmed	https://pubmed.ncbi.nlm.nih.gov/30453303/	2		tavapadon	experimental		FALSE			1
7 mg qd to 7 mg qd pf-06649751 (de-escalated in parent study)	7 mg qd to 7 mg qd pf-06649751 (de-escalated in parent study)	drug	1	NCT03185481	molecular	DRD1,DRD5	Pubmed	https://pubmed.ncbi.nlm.nih.gov/30453303/	2		tavapadon	experimental		FALSE			1
7 tesla mri	7 tesla mri	device	1	NCT01945853	none									FALSE			0
800mg lm11a-31-bhs	800mg lm11a-31-bhs	drug	1	NCT03069014	molecular	NGFR				NGFR	lm11a-31-bhs	experimental	TTD	FALSE			1
90y ibritumomabtiuxetan	90y ibritumomabtiuxetan	drug	1	NCT01490723	molecular	MS4A1	DB	https://go.drugbank.com/drugs/DB00078			ibritumomab tiuxetan	approved	monoclonal anti-CD20 antibody	FALSE			1
9zest app facilitated exercise	9zest app facilitated exercise	other	1	NCT03459586	behavioral									FALSE			1
[11c] pittsburgh compound-b (pib)	[11c] pittsburgh compound-b (pib)	drug	1	NCT04134923	none					radiopharmaceutical				FALSE			0
[11c]-pib	[11c]-pib	drug	1	NCT00855868	none					radiopharmaceutical				FALSE			0
[11c]-ucb-j	[11c]-ucb-j	other	1	NCT03577262	none									FALSE			1
[11c]acetoacetate[18f]fluorodeoxyglucose positron emission tomography scan	[11c]acetoacetate[18f]fluorodeoxyglucose positron emission tomography scan	other	1	NCT03130036	none					radiopharmaceutical				FALSE			0
[11c]bu99008	[11c]bu99008	radiation	2	NCT02323217	none					radiopharmaceutical				FALSE			0
[11c]mes-impy	[11c]mes-impy	drug	1	NCT00407576	none					radiopharmaceutical				FALSE			0
[11c]mk-6884	[11c]mk-6884	drug	1	NCT02621606	none					radiopharmaceutical				FALSE			0
[11c]pbr28	[11c]pbr28	drug	1	NCT00459693	none					radiopharmaceutical				FALSE			0
[11c]pbr28 and[18f]nos	[11c]pbr28 and[18f]nos	drug	1	NCT04274998	none					radiopharmaceutical				FALSE			0
[11c]pib	[11c]pib	drug	1	NCT01826110	none					radiopharmaceutical				FALSE			0
[11c]pxt012253	[11c]pxt012253	drug	1	NCT03826134	none					radiopharmaceutical				FALSE			0
[11c]ro6924963	[11c]ro6924963	drug	1	NCT02187627	none					radiopharmaceutical				FALSE			0
[11c]ro6931643	[11c]ro6931643	drug	1	NCT02187627	none					radiopharmaceutical				FALSE			0
[123-i] av-83 injection and imaging procedures	[123-i] av-83 injection and imaging procedures	radiation	1	NCT00448799	none					radiopharmaceutical				FALSE			0
[123i] 5-ia	[123i] 5-ia	drug	1	NCT00397696	none					radiopharmaceutical				FALSE			0
[123i] av 39	[123i] av 39	drug	1	NCT00439010	none					radiopharmaceutical				FALSE			0
[123i] av-151	[123i] av-151	drug	1	NCT00556660	none					radiopharmaceutical				FALSE			0
[123i] ibvm and spect imaging	[123i] ibvm and spect imaging	drug	1	NCT00556764	none									FALSE			1
[123i] impy & spect imaging	[123i] impy & spect imaging	drug	1	NCT00287248	none					radiopharmaceutical				FALSE			0
[123i] mni-308	[123i] mni-308	drug	1	NCT00544453	none					radiopharmaceutical				FALSE			0
[123i] mzint injection and serial dynamic spect imaging	[123i] mzint injection and serial dynamic spect imaging	drug	1	NCT00427674	none					radiopharmaceutical				FALSE			0
[123i]-ibvm	[123i]-ibvm	drug	1	NCT00480701	none					radiopharmaceutical				FALSE			0
[123i]-ibzm imaging	[123i]-ibzm imaging	procedure	1	NCT00200447	none									FALSE			1
[123i]av94	[123i]av94	drug	1	NCT00605059	none					radiopharmaceutical				FALSE			0
[123i]b-cit	[123i]b-cit	drug	1	NCT00273351	none					radiopharmaceutical				FALSE			0
[123i]b-cit spect imaging	[123i]b-cit spect imaging	drug	1	NCT00134784	none									FALSE			1
[123i]clinde	[123i]clinde	drug	1	NCT00612872	none					radiopharmaceutical				FALSE			0
[123i]mni-420	[123i]mni-420	drug	1	NCT00970229	none					radiopharmaceutical				FALSE			0
[123i]mni-672 spect	[123i]mni-672 spect	drug	1	NCT01859767	none					radiopharmaceutical				FALSE			0
[123i]ß cit	[123i]ß cit	drug	1	NCT00129675	none					radiopharmaceutical				FALSE			0
[123i]ß cit and spect imaging	[123i]ß cit and spect imaging	drug	1	NCT00117819	none					radiopharmaceutical				FALSE			0
[123i]ß-cit and spect imaging	[123i]ß-cit and spect imaging	drug	1	NCT00132626	none					radiopharmaceutical				FALSE			0
[123i]ß-cit and spect imaging	[123i]ß-cit and spect imaging	procedure	1	NCT00096720	none					radiopharmaceutical				FALSE			0
[123i]β-cit	[123i]β-cit	drug	2	NCT00387075	none									TRUE			1
[123i]β-cit and spect imaging	[123i]β-cit and spect imaging	procedure	1	NCT00387075	none									TRUE			1
[14c]-bia 9-1067	[14c]-bia 9-1067	drug	1	NCT03119194	none					radiopharmaceutical				FALSE			0
[18f] cfpypb	[18f] cfpypb	drug	1	NCT01461109	none					radiopharmaceutical				FALSE			0
[18f] flutemetamol	[18f] flutemetamol	drug	1	NCT02813070	none					radiopharmaceutical				FALSE			0
[18f] lbt-999 pet	[18f] lbt-999 pet	drug	1	NCT02393027	none					radiopharmaceutical				FALSE			0
[18f] mni-558	[18f] mni-558	drug	1	NCT01217021	none					radiopharmaceutical				FALSE			0
[18f] mni-946	[18f] mni-946	drug	1	NCT03071224	none									FALSE			1
[18f] pbr06	[18f] pbr06	drug	1	NCT01028209	none					radiopharmaceutical				FALSE			0
[18f] pbr111	[18f] pbr111	drug	1	NCT01209156	none					radiopharmaceutical				FALSE			0
[18f]-dopa	[18f]-dopa	other	1	NCT02495649	none					radiopharmaceutical				FALSE			0
[18f]-feppa	[18f]-feppa	drug	1	NCT00970333	none					radiopharmaceutical				FALSE			0
[18f]-fmh3	[18f]-fmh3	drug	1	NCT01268020	none					radiopharmaceutical				FALSE			0
[18f]-ro6958948	[18f]-ro6958948	diagnostic test	1	NCT03174938	none									FALSE			1
[18f]apn-1607	[18f]apn-1607	drug	1	NCT04141150	none									FALSE			1
[18f]av-1451	[18f]av-1451	drug	1	NCT04080544	none					radiopharmaceutical				FALSE			0
[18f]av-45 pet	[18f]av-45 pet	radiation	1	NCT01325259	none					radiopharmaceutical				FALSE			0
[18f]av-45 pet amyloid binding imaging	[18f]av-45 pet amyloid binding imaging	drug	2	NCT01238458	none					radiopharmaceutical				FALSE			0
[18f]azd4694	[18f]azd4694	drug	1	NCT00991419	none					radiopharmaceutical				FALSE			0
[18f]dpa-714 pet	[18f]dpa-714 pet	drug	1	NCT02405403	none					radiopharmaceutical				FALSE			0
[18f]dpa-714 pet scan	[18f]dpa-714 pet scan	drug	1	NCT03230526	none					radiopharmaceutical				FALSE			0
