disease_area	nct	year	intervention_name	drug	regulatory_status	approval_year	patient_years	gen_assoc	target_gene	target_status	classification	priority
ftd/als	NCT00140452	2005	thalidomide	thalidomide	approved				CRBN	approved	repurposing	3
alzheimer	NCT00141661	2005	pf-04494700 - high dose arm	azeliragon	experimental		44.57494866529774		AGER	non	novel, unsup	2
alzheimer	NCT00142324	2003	donepezil	donepezil	approved	1996			ACHE	approved	post-approval	7
alzheimer	NCT00142805	2004	ketasyn™ (ac-1202)	tricaprylin	supplement					non	novel, unsup	2
parkinson	NCT00143026	2005	carbidopa, levodopa, entacapone	carbidopa,levodopa	combination		168.76112251882273		DRD1	approved	combination	4
parkinson	NCT00144300	2005	mirapex	pramipexole	approved	1997			DRD3	approved	post-approval	7
parkinson	NCT00145171	2001	apomorphine hcl injection	apomorphine	approved	2004			DRD4	approved	pre-approval	6
huntington	NCT00146211	2005	ethyl-epa (miraxion™)	icosapent	supplement		548.6652977412731		PTGS2	approved	metoo	5
parkinson	NCT00148486	2003	ns 2330	tesofensine	experimental					non	novel, unsup	2
parkinson	NCT00148512	2003	1. tesofensine (ns 2330)	tesofensine	experimental		488.87611225188226			non	novel, unsup	2
alzheimer	NCT00151333	2005	sra-333	lecozotan	experimental				HTR1A	approved	metoo	5
alzheimer	NCT00151398	2005	lecozotan sr	lecozotan	experimental		571.7946611909651		HTR1A	approved	metoo	5
alzheimer	NCT00151502	2002	atorvastatin	atorvastatin	approved				HMGCR	approved	repurposing	3
alzheimer	NCT00153010	2003	ns 2330 (tesofensine)	tesofensine	experimental					non	novel, unsup	2
alzheimer	NCT00154635	2005	dcb-ad1	reynoutria multiflora	supplement					non	novel, unsup	2
alzheimer	NCT00160147	2005	bifeprunox	bifeprunox	experimental		125.01026694045174			non	novel, unsup	2
parkinson	NCT00160576	2003	levetiracetam	levetiracetam	approved				SV2A	approved	repurposing	3
alzheimer	NCT00161473	2001	prazosin	prazosin	approved		207.9671457905544		ADRA1A	approved	repurposing	3
parkinson	NCT00163085	2005	nr2b nmda antagonist cp-101,606 (traxoprodil)	traxoprodil	experimental				GRIN2B	approved	metoo	5
alzheimer	NCT00164749	2004	curcumin and ginkgo extract	curcumin	supplement		62.8829568788501			non	novel, unsup	2
alzheimer	NCT00165659	2002	donepezil hydrochloride	donepezil	approved	1996			ACHE	approved	post-approval	7
alzheimer	NCT00165724	2004	donepezil hydrochloride	donepezil	approved	1996	284.9609856262834		ACHE	approved	post-approval	7
alzheimer	NCT00165750	2005	donepezil hydrochloride	donepezil	approved	1996	146.8583162217659		ACHE	approved	post-approval	7
parkinson	NCT00165789	2005	e2007	perampanel	approved		74.94866529774127		GRIA1	approved	repurposing	3
parkinson	NCT00165815	2002	aricept	donepezil	approved				ACHE	approved	repurposing	3
parkinson	NCT00174239	2004	cabergoline	cabergoline	approved				DRD2	approved	repurposing	3
alzheimer	NCT00174382	2005	donepezil	donepezil	approved	1996	422.217659137577		ACHE	approved	post-approval	7
alzheimer	NCT00174525	2005	aab-001	aab-001	experimental			OMIM	APP	non	novel, supported	1
parkinson	NCT00180037	2003	coenzyme q10 nanodispersion (nanoquinone)	ubidecarenone	supplement				NDUFV3	approved	metoo	5
ftd/als	NCT00187525	2004	memantine	memantine	approved				GRIN1	approved	repurposing	3
huntington	NCT00190450	2002	graft intracerebral of foetal neurons	fetal neuron graft	experimental		643.4168377823408			non	novel, unsup	2
alzheimer	NCT00191009	2003	atomoxetine hydrochloride	atomoxetine	approved				SLC6A2	approved	repurposing	3
parkinson	NCT00195143	2003	surgical infusion of aav-gad into the subthalamic nucleus	aav-gad	experimental				GAD1	non	novel, unsup	2
parkinson	NCT00199355	2005	istradefylline (kw-6002)	istradefylline	approved	2019			ADORA2A	approved	pre-approval	6
parkinson	NCT00199368	2004	istradefylline ( kw-6002)	istradefylline	approved	2019			ADORA2A	approved	pre-approval	6
parkinson	NCT00199381	2005	istradefylline	istradefylline	approved	2019	1512.3449691991786		ADORA2A	approved	pre-approval	6
alzheimer	NCT00199394	2004	istradefylline (kw-6002)	istradefylline	approved				ADORA2A	approved	repurposing	3
parkinson	NCT00199407	2004	istradefylline (kw-6002)	istradefylline	approved	2019			ADORA2A	approved	pre-approval	6
parkinson	NCT00199420	2004	istradefylline (kw-6002)	istradefylline	approved	2019			ADORA2A	approved	pre-approval	6
parkinson	NCT00199433	2005	istradefylline (kw-6002)	istradefylline	approved	2019			ADORA2A	approved	pre-approval	6
parkinson	NCT00200447	2004	carbidopa/l-dopa	carbidopa,levodopa	combination		1.51129363449692		DRD1	approved	combination	4
parkinson	NCT00200525	2001	apomorphine hcl injection	apomorphine	approved	2004			DRD4	approved	pre-approval	6
ftd/als	NCT00200538	2005	memantine	memantine	approved				GRIN1	approved	repurposing	3
alzheimer	NCT00202124	2001	tryptophan	tryptophan	supplement					non	novel, unsup	2
parkinson	NCT00203034	2000	1.0 mg rasagiline mesylate	rasagiline	approved	2006	1259.958932238193		MAOB	approved	pre-approval	6
parkinson	NCT00203125	2000	tyramine	tyramine	experimental		123.77823408624229			non	novel, unsup	2
parkinson	NCT00203138	2004	rasagiline mesylate	rasagiline	approved	2006	764.8952772073922		MAOB	approved	pre-approval	6
parkinson	NCT00203164	2002	rasagiline mesylate	rasagiline	approved	2006	1101.535934291581		MAOB	approved	pre-approval	6
parkinson	NCT00203177	2001	rasagiline mesylate	rasagiline	approved	2006			MAOB	approved	pre-approval	6
alzheimer	NCT00203320	2005	etanercept given by perispinal administration	etanercept	approved				TNF	approved	repurposing	3
alzheimer	NCT00203359	2004	etanercept given by perispinal administration	etanercept	approved				TNF	approved	repurposing	3
parkinson	NCT00203957	2005	istradefylline	istradefylline	approved	2019	19.21971252566735		ADORA2A	approved	pre-approval	6
parkinson	NCT00206687	2003	spheramine (bay86-5280)	spheramine	experimental		662.4722792607803		DRD1	approved	metoo	5
parkinson	NCT00208611	2006	vitamin b12 supplementation	cyanocobalamin	supplement		194.9158110882957		MTR	approved	metoo	5
alzheimer	NCT00208819	2003	divalproex	valproic acid	approved				HDAC9	approved	repurposing	3
parkinson	NCT00209508	2002	gpi 1485	gpi 1485	experimental				FKBP1A	approved	metoo	5
alzheimer	NCT00211159	2000	epax 1050tg	omega-3 fatty acids	supplement				PPARG	approved	metoo	5
parkinson	NCT00211224	2000	riluzole	riluzole	approved				SCN5A	approved	repurposing	3
parkinson	NCT00211588	2004	galantamine	galantamine	approved				ACHE	approved	repurposing	3
huntington	NCT00212316	2005	sodium phenylbutyrate	sodium phenylbutyrate	approved					non	repurposing	3
parkinson	NCT00212693	2004	ono-2506po	arundic acid	experimental					non	novel, unsup	2
ftd/als	NCT00214110	2001	tamoxifen	tamoxifen	approved				ESR1	approved	repurposing	3
parkinson	NCT00215904	2003	d-serine (~2g/day)	serine	supplement		61.752224503764545			non	novel, unsup	2
alzheimer	NCT00216502	2001	galantamine hydrobromide	galantamine	approved	2001	1079.978097193703		ACHE	approved	post-approval	7
alzheimer	NCT00216515	2004	galantamine hydrobromide	galantamine	approved	2001	170.34907597535934		ACHE	approved	post-approval	7
alzheimer	NCT00216593	2003	galantamine hydrobromide	galantamine	approved	2001	1763.3949349760437		ACHE	approved	post-approval	7
alzheimer	NCT00217763	2005	3aps	tramiprosate	experimental					non	novel, unsup	2
alzheimer	NCT00219232	2003	rivastigmine transdermal patch	rivastigmine	approved	2000	2961.062286105407		ACHE	approved	post-approval	7
parkinson	NCT00219284	2005	carbidopa/levodopa/entacapone	carbidopa,levodopa	combination		1255.148528405202		DRD1	approved	combination	4
parkinson	NCT00220272	2004	sr57667b	paliroden	experimental		578.6858316221766			non	novel, unsup	2
parkinson	NCT00224263	2005	lingzhi (ganoderma)	ganoderma	supplement					non	novel, unsup	2
alzheimer	NCT00224497	2005	sb-742457	intepirdine	experimental				HTR6	approved	metoo	5
parkinson	NCT00228150	2003	sr57667b	paliroden	experimental		1551.8685831622176			non	novel, unsup	2
alzheimer	NCT00229333	2004	escitalopram	escitalopram	approved				SLC6A4	approved	repurposing	3
parkinson	NCT00229736	2004	aav-haadc-2	aav-haadc-2	experimental		83.28542094455852		DDC	approved	metoo	5
ftd/als	NCT00230074	2004	tch346	omigapil	experimental		88.15879534565366			non	novel, unsup	2
alzheimer	NCT00230568	2005	aricept	donepezil	approved	1996	199.8631074606434		ACHE	approved	post-approval	7
ftd/als	NCT00231140	2005	thalidomide (drug)	thalidomide	approved				CRBN	approved	repurposing	3
alzheimer	NCT00231946	2005	vp4896	leuprolide	approved				GNRHR	approved	repurposing	3
alzheimer	NCT00232570	2005	quetiapine	quetiapine	approved				HTR2A	approved	repurposing	3
alzheimer	NCT00234637	2003	rivastigmine, memantine	rivastigmine,memantine	combination		322.8254620123203		GRIN1	approved	combination	4
parkinson	NCT00234676	2003	premarin ®	conjugated estrogens	approved		55.540041067761805		ESR1	approved	repurposing	3
alzheimer	NCT00235716	2007	dl-alpha-tocopherol	tocopherol	supplement		3168.6351813826145			non	novel, unsup	2
alzheimer	NCT00236431	2001	galantamine hydrobromide	galantamine	approved	2001	2747.356605065024		ACHE	approved	post-approval	7
alzheimer	NCT00236574	2001	galantamine hydrobromide	galantamine	approved	2001	2437.3333333333335		ACHE	approved	post-approval	7
parkinson	NCT00239564	2005	ipx054 100 mg	carbidopa,levodopa	combination		25.987679671457904		DRD1	approved	combination	4
alzheimer	NCT00239746	2005	ibuprofen	ibuprofen	approved				PTGS2	approved	repurposing	3
parkinson	NCT00240409	2003	bromocriptine	bromocriptine	approved		226.0807665982204		DRD2	approved	repurposing	3
alzheimer	NCT00240695	2003	galantamine hydrobromide	galantamine	approved	2001	725.4866529774127		ACHE	approved	post-approval	7
parkinson	NCT00242008	2004	rotigotine	rotigotine	approved	2007			DRD3	approved	pre-approval	6
alzheimer	NCT00242593	2006	rosiglitazone	rosiglitazone	approved				PPARG	approved	repurposing	3
ftd/als	NCT00243932	2005	coenzyme q10	ubidecarenone	supplement		539.4250513347023		NDUFV3	approved	metoo	5
parkinson	NCT00243945	2004	rotigotine	rotigotine	approved	2007	33.66461327857632		DRD3	approved	pre-approval	6
parkinson	NCT00243971	2004	spm 962	rotigotine	approved	2007			DRD3	approved	pre-approval	6
ftd/als	NCT00244244	2005	arimoclomol	arimoclomol	experimental					non	novel, unsup	2
alzheimer	NCT00244322	2005	ly450139 dihydrate	semagacestat	experimental			OMIM	PSEN1	non	novel, supported	1
parkinson	NCT00244387	2004	spm 962	rotigotine	approved	2007	674.6666666666666		DRD3	approved	pre-approval	6
alzheimer	NCT00245206	2005	aripiprazole	aripiprazole	approved		2097.5277207392196		DRD2	approved	repurposing	3
parkinson	NCT00247247	2002	comtess®	entacapone	approved	1999			COMT	approved	post-approval	7
parkinson	NCT00250393	2005	istradefylline (kw-6002)	istradefylline	approved	2019			ADORA2A	approved	pre-approval	6
parkinson	NCT00252850	2005	cere-120: aav2-ntn	cere-120	experimental				NRTN	non	novel, unsup	2
parkinson	NCT00253084	2005	cd-ld ir	carbidopa,levodopa	combination		24.969199178644764		DRD1	approved	combination	4
alzheimer	NCT00253214	2001	galantamine hydrobromide	galantamine	approved	2001	1297.3333333333333		ACHE	approved	post-approval	7
alzheimer	NCT00254033	2003	dextroamphetamine	dextroamphetamine	approved				SLC18A2	approved	repurposing	3
alzheimer	NCT00255086	2005	memantine	memantine	approved	2003	80.84599589322382		GRIN1	approved	post-approval	7
parkinson	NCT00256204	2005	rasagiline mesylate	rasagiline	approved	2006	4204.221765913758		MAOB	approved	pre-approval	6
alzheimer	NCT00257673	2005	mem 1003	mem 1003	experimental		350.217659137577		CACNA1C	approved	metoo	5
alzheimer	NCT00257712	2006	th9507 human growth hormone releasing hormone (ghrh)	tesamorelin	approved		880.1615331964408		GHRHR	approved	repurposing	3
alzheimer	NCT00260624	2003	escitalopram (lexapro)	escitalopram	approved				SLC6A4	approved	repurposing	3
parkinson	NCT00260793	2005	ropinirole hydrochloride	ropinirole	approved	1997			DRD3	approved	post-approval	7
alzheimer	NCT00265148	2004	rosiglitazone	rosiglitazone	approved		333.36071184120465		PPARG	approved	repurposing	3
alzheimer	NCT00267163	2000	donepezil	donepezil	approved	1996	437.0047912388775		ACHE	approved	post-approval	7
parkinson	NCT00269516	2006	pardoprunox	pardoprunox	experimental		702.1601642710473			non	novel, unsup	2
huntington	NCT00271596	2005	20mg daily citalopram	citalopram	approved		197.9548254620123		SLC6A4	approved	repurposing	3
parkinson	NCT00272688	2006	levodopa (drug), intraduodenal administration	levodopa	approved	1975	33.29226557152635		DRD1	approved	post-approval	7
parkinson	NCT00275275	2006	mirapex	pramipexole	approved	1997	142.1245722108145		DRD3	approved	post-approval	7
alzheimer	NCT00276510	2002	egb 761® (tanakan®)	ginkgo biloba	supplement		22299.08281998631			non	novel, unsup	2
huntington	NCT00277355	2006	minocycline	minocycline	approved		294.9486652977413			non	repurposing	3
alzheimer	NCT00277810	2006	lecozotan sr (sra-333)	lecozotan	experimental		563.3127994524299		HTR1A	approved	metoo	5
parkinson	NCT00279825	2006	cd-ld cr	carbidopa,levodopa	combination		30.62012320328542		DRD1	approved	combination	4
alzheimer	NCT00285025	2005	sr57667b	paliroden	experimental					non	novel, unsup	2
alzheimer	NCT00285077	2004	sr57667b	paliroden	experimental		1041.0677618069815			non	novel, unsup	2
parkinson	NCT00286897	2006	e2007	perampanel	approved		1049.3963039014375		GRIA1	approved	repurposing	3
parkinson	NCT00286949	2005	atomoxetine	atomoxetine	approved		41.75770020533881		SLC6A2	approved	repurposing	3
alzheimer	NCT00287742	2002	risperidone	risperidone	approved		32.97741273100616		HTR2A	approved	repurposing	3
parkinson	NCT00291733	2006	levetiracetam	levetiracetam	approved				SV2A	approved	repurposing	3
parkinson	NCT00292227	2006	moxifloxacin infusion	moxifloxacin	approved		97.16632443531827			non	repurposing	3
parkinson	NCT00294554	2006	memantine	memantine	approved		53.38809034907597		GRIN1	approved	repurposing	3
parkinson	NCT00296192	2006	rotigotine nasal spray	rotigotine	approved	2007	26.940451745379878		DRD3	approved	pre-approval	6
parkinson	NCT00296946	2004	ipratropium bromide (drug)	ipratropium	approved				CHRM1	approved	repurposing	3
parkinson	NCT00296959	2004	topiramate (drug)	topiramate	approved				GABRA1	approved	repurposing	3
parkinson	NCT00297778	2006	pramipexole	pramipexole	approved	1997			DRD3	approved	post-approval	7
ftd/als	NCT00298597	2006	erythropoetin (epo)	erythromycin	approved					non	repurposing	3
alzheimer	NCT00299988	2006	intravenous immunoglobulin	human immunoglobulin g	approved		99.87679671457906			non	repurposing	3
alzheimer	NCT00301574	2001	galantamine	galantamine	approved	2001	1128.892539356605		ACHE	approved	post-approval	7
alzheimer	NCT00303277	2002	pravastatin	pravastatin	approved		93.33333333333333		HMGCR	approved	repurposing	3
parkinson	NCT00304161	2004	atomoxetine	atomoxetine	approved		243.03901437371664		SLC6A2	approved	repurposing	3
parkinson	NCT00305331	2006	domperidone (drug)	domperidone	approved				DRD2	approved	repurposing	3
alzheimer	NCT00305903	2006	rivastigmine, memantine	rivastigmine,memantine	combination				GRIN1	approved	combination	4
alzheimer	NCT00306124	2006	levodopa	levodopa	approved				DRD1	approved	repurposing	3
parkinson	NCT00307450	2006	levetiracetam	levetiracetam	approved				SV2A	approved	repurposing	3
parkinson	NCT00314288	2002	sarizotan hcl	sarizotan	approved					non	repurposing	3
alzheimer	NCT00314912	2006	tramiprosate (3aps)	acamprosate	approved				GRM5	approved	repurposing	3
parkinson	NCT00321854	2006	pramipexole	pramipexole	approved	1997			DRD3	approved	post-approval	7
alzheimer	NCT00322036	2006	mpc-7869	flurizan	experimental		2069.8151950718684	OMIM	PSEN1	non	novel, supported	1
alzheimer	NCT00322153	2005	memantine er	memantine	approved	2003	1749.7275838466803		GRIN1	approved	post-approval	7
ftd/als	NCT00324454	2006	levetiracetam	levetiracetam	approved		41.724845995893226		SV2A	approved	repurposing	3
parkinson	NCT00324896	2006	eszopiclone	eszopiclone	approved		92.56673511293634		GABRA1	approved	repurposing	3
alzheimer	NCT00325728	2006	ramelteon	ramelteon	approved		104.74469541409994		MTNR1A	approved	repurposing	3
ftd/als	NCT00326625	2006	40 mg glatiramer acetate	glatiramer	approved		732.5010266940452			non	repurposing	3
parkinson	NCT00329056	2006	mitoq	mitoq	supplement		192.39425051334703			non	novel, unsup	2
alzheimer	NCT00329082	2006	ly2062430	solanezumab	experimental		50.03422313483915	OMIM	APP	non	novel, supported	1
ftd/als	NCT00330681	2006	mci-186	edaravone	approved	2017	481.6536618754278			non	pre-approval	6
parkinson	NCT00331149	2006	ropinirole immediate release	ropinirole	approved	1997	408.50102669404515		DRD3	approved	post-approval	7
alzheimer	NCT00334568	2004	rosiglitazone xr (extended release) oral tablets	rosiglitazone	approved		30.94866529774127		PPARG	approved	repurposing	3
alzheimer	NCT00334906	2005	memantine hcl	memantine	approved	2003			GRIN1	approved	post-approval	7
parkinson	NCT00335166	2006	pardaprunox	pardoprunox	experimental					non	novel, unsup	2
