intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments	db_target	db_status	incl_count
009-b2 (placebo --> active) crossover	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04157933","NCT04157933")						1
1 ma hd-tdcs	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03875326","NCT03875326")						1
1 mg qd to 15 mg qd pf-06649751	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")						1
1 mg qd to 7 mg qd pf-06649751 (if de-escalated in parent study)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")						1
1 mg tropicamide	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00761137","NCT00761137")						1
1 mo baseline before visual cue	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00320242","NCT00320242")						1
1-month of 60-40 mct oil	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02709356","NCT02709356")						1
1-month of c8 mct oil	dietary supplement	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02709356","NCT02709356")						1
1-month pilot trial of closed-loop vs. open-loop stimulation	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03582891","NCT03582891")						1
1. amyloid pet；2. t807 pet	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03969732","NCT03969732")						0
1. tesofensine (ns 2330)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00148512","NCT00148512")						1
1.0 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")						1
1.0 mg rasagiline mesylate	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00203034","NCT00203034")						1
1.0 miu il-2 per day	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02059759","NCT02059759")						1
1.2 mg lu ae04621	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02649608","NCT02649608")						1
10 daily fractions of 2 gy	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02359864","NCT02359864")						1
10 gy in 5 daily fractions	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02769000","NCT02769000")						1
10 mg ir in study 326	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00566501","NCT00566501")						1
10% unweighed bwstt	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03799887","NCT03799887")						1
100 million cells allogeneic hmsc	biological	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04040348","NCT04040348")						1
1072nm infrared photobiomodulation	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01059877","NCT01059877")						1
10hz tms with h2 coil to prefrontal and parieto-temporal cortex	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00753662","NCT00753662")						1
111in ibritumomab	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01490723","NCT01490723")						1
11c-er176	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03958630","NCT03958630")						0
11c-jnj-63779586	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03089918","NCT03089918")						0
11c-l-deprenyl-d2	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01701089","NCT01701089")						1
11c-methylreboxetine	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03648905","NCT03648905")						0
11c-pbr28	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02831283","NCT02831283")						0
11c-pib	drug	5	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03757910","NCT03757910")						0
11c-pib pet scan	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00811122","NCT00811122")						0
11c-ucb-j pet-ct	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04243304","NCT04243304")						0
12-month study visit	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03882879","NCT03882879")						1
123 i - altropane®	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00724906","NCT00724906")						0
123-i mni-168	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00870519","NCT00870519")						0
123-i mni-187 injection and imaging procedures	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00456417","NCT00456417")						0
123-i mni-340	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00968097","NCT00968097")						0
123i-mibg	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03094910","NCT03094910")						0
13n-ammonia	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03648905","NCT03648905")						0
15 mg qd de-escalated to 7 mg qd pf-06649751 in parent study remain at 7 mg qd	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")						1
15 mg qd pf-06649751	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")						1
15mg t3d-959	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04251182","NCT04251182")						1
18-f-flortaucipir	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03821857","NCT03821857")						0
18-fdg pet	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01325259","NCT01325259")						0
18-fdg-pet	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03150290","NCT03150290")						0
18-fdtbz	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02599753","NCT02599753")						0
18f- dtbz	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02039024","NCT02039024")						0
18f-av-133	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01550484","NCT01550484")						0
18f-av-1451	drug	15	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03287765","NCT03287765")						1
18f-av-1451 (tau-pet tracer)	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02958670","NCT02958670")						0
18f-av-45	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03040713","NCT03040713")						0
18f-dopa	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03042416","NCT03042416")						0
18f-dopa pet	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03973502","NCT03973502")						0
18f-dopamne	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03648905","NCT03648905")						0
18f-dtbz	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01759888","NCT01759888")						0
18f-dtbz av-133	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01556100","NCT01556100")						1
18f-fdg	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01824056","NCT01824056")						0
18f-florbetaben	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02831283","NCT02831283")						0
18f-florbetaben (fbb)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03057938","NCT03057938")						0
18f-florbetaben pet	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02556502","NCT02556502")						0
18f-florbetapir	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03641768","NCT03641768")						0
18f-florbetapir	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04305210","NCT04305210")						0
18f-flutemetamol	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01202994","NCT01202994")						0
18f-mk-6240	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03757910","NCT03757910")						0
18f-pe2i pet-mr	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04243304","NCT04243304")						0
18f-pm-pbb3	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04248270","NCT04248270")						0
18f-thk-5351	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03024944","NCT03024944")						0
18f-x pet scan	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00563537","NCT00563537")						1
18fav45	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01962753","NCT01962753")						0
1h-129xe dual-tuned quadrature head coil	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02638519","NCT02638519")						0
1hz tms with h2 coil	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00753662","NCT00753662")						1
2 ma hd-tdcs	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03875326","NCT03875326")						1
2 mg perampanel	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00368108","NCT00368108")						1
2 mg/day	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02168920","NCT02168920")						1
2 months control condition - 4 months chariot-flash	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02933177","NCT02933177")						1
2 night polysomnography	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01650454","NCT01650454")						1
2-hour period of hypoxia	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02891343","NCT02891343")						0
2-hydroxypropyl-beta-cyclodextrin	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03471143","NCT03471143")						0
2.0 miu il-2 per day	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02059759","NCT02059759")						1
20 gy in 10 daily fractions	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02769000","NCT02769000")						1
20 mg bid of pf-02545920	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02342548","NCT02342548")						1
20% unweighed bwstt	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03799887","NCT03799887")						1
200 mg bia 6-512	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03095105","NCT03095105")						0
200 million cells allogeneic hmsc	biological	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04040348","NCT04040348")						1
20mg daily citalopram	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00271596","NCT00271596")						1
23 mg sr in study 326	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00566501","NCT00566501")						1
240mg amantadine hcl er tablets	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02153645","NCT02153645")						1
25 mg bia9 1067	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04265027","NCT04265027")						0
25 mg ongentys	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04265027","NCT04265027")						0
250 mg ck-2017357	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01089010","NCT01089010")						1
250mg rilapladib	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01428453","NCT01428453")						1
3 home visits made by a psychologist	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03606798","NCT03606798")						1
3 ma hd-tdcs	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03875326","NCT03875326")						1
3 mg qd to 15 mg qd pf-06649751	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")						1
3 mg qd to 7 mg qd pf-06649751 (de-escalated in parent study)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")						1
3 mg tropicamide	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00761137","NCT00761137")						1
3 mg/day	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02168920","NCT02168920")						1
3 months exercise intervention program	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02253732","NCT02253732")						1
3 preventive home visits by a nurse	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01700556","NCT01700556")						0
30 mg t3d-959	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04251182","NCT04251182")						1
31-phosphorus rmn spectroscopy	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01696708","NCT01696708")						0
31p-mr spectroscopy	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01359774","NCT01359774")						0
31p-rmn spectroscopy	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01359774","NCT01359774")						0
32 channels deep brain stimulator	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02402569","NCT02402569")						1
320mg amantadine hcl er tablets	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02153645","NCT02153645")						1
350 mg donepezil transdermal patch	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00916383","NCT00916383")						1
3aps	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00088673","NCT00088673")						2
3t brain scan	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03389698","NCT03389698")						0
3t mri	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03070821","NCT03070821")						1
3t mri compatible and lfp recordable g106r of beijing pins medical.	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02937727","NCT02937727")						1
4 mg perampanel	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00368108","NCT00368108")						1
4 months control condition-2 months chariot flash	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02933177","NCT02933177")						1
40 mg glatiramer acetate	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00326625","NCT00326625")						1
400mg lm11a-31-bhs	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03069014","NCT03069014")						1
45 mg t3d-959	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04251182","NCT04251182")						1
5 daily fractions of 2 gy	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02359864","NCT02359864")						1
5% glucose water solution	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03039673","NCT03039673")						1
50 hz repetitive tms	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00977184","NCT00977184")						1
50 mg bia 9 1067	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04265027","NCT04265027")						0
50 mg ongentys	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04265027","NCT04265027")						0
500 mg ck-2017357	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01089010","NCT01089010")						1
5000 voldyne ® sherwood medical, usa	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01932684","NCT01932684")						1
6 mg/day	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02168920","NCT02168920")						1
6-month study visit	behavioral	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03882879","NCT03882879")						1
7 mg qd to 15 mg qd pf-06649751	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")						1
7 mg qd to 7 mg qd pf-06649751 (de-escalated in parent study)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03185481","NCT03185481")						1
7 tesla mri	device	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01945853","NCT01945853")						0
800mg lm11a-31-bhs	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03069014","NCT03069014")						1
90y ibritumomabtiuxetan	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01490723","NCT01490723")						1
9zest app facilitated exercise	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03459586","NCT03459586")						1
[11c] pittsburgh compound-b (pib)	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04134923","NCT04134923")						0
[11c]-pib	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00855868","NCT00855868")						0
[11c]-ucb-j	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03577262","NCT03577262")						1
[11c]acetoacetate[18f]fluorodeoxyglucose positron emission tomography scan	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03130036","NCT03130036")						0
[11c]bu99008	radiation	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02323217","NCT02323217")						0
[11c]mes-impy	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00407576","NCT00407576")						0
[11c]mk-6884	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02621606","NCT02621606")						0
[11c]pbr28	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00459693","NCT00459693")						0
[11c]pbr28 and[18f]nos	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04274998","NCT04274998")						0
[11c]pib	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01826110","NCT01826110")						0
[11c]pxt012253	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03826134","NCT03826134")						0
[11c]ro6924963	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02187627","NCT02187627")						0
[11c]ro6931643	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02187627","NCT02187627")						0
[123-i] av-83 injection and imaging procedures	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00448799","NCT00448799")						0
[123i] 5-ia	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00397696","NCT00397696")						0
[123i] av 39	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00439010","NCT00439010")						0
[123i] av-151	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00556660","NCT00556660")						0
[123i] ibvm and spect imaging	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00556764","NCT00556764")						1
[123i] impy & spect imaging	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00287248","NCT00287248")						0
[123i] mni-308	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00544453","NCT00544453")						0
[123i] mzint injection and serial dynamic spect imaging	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00427674","NCT00427674")						0
[123i]-ibvm	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00480701","NCT00480701")						0
[123i]-ibzm imaging	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00200447","NCT00200447")						1
[123i]av94	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00605059","NCT00605059")						0
[123i]b-cit	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00273351","NCT00273351")						0
[123i]b-cit spect imaging	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00134784","NCT00134784")						1
[123i]clinde	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00612872","NCT00612872")						0
[123i]mni-420	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00970229","NCT00970229")						0
[123i]mni-672 spect	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01859767","NCT01859767")						0
[123i]ß cit	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00129675","NCT00129675")						0
[123i]ß cit and spect imaging	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00117819","NCT00117819")						0
[123i]ß-cit and spect imaging	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00132626","NCT00132626")						0
[123i]ß-cit and spect imaging	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00096720","NCT00096720")						0
[123i]β-cit	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00387075","NCT00387075")						1
[123i]β-cit and spect imaging	procedure	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00387075","NCT00387075")						1
[14c]-bia 9-1067	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03119194","NCT03119194")						0
[18f] cfpypb	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01461109","NCT01461109")						0
[18f] flutemetamol	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02813070","NCT02813070")						0
[18f] lbt-999 pet	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02393027","NCT02393027")						0
[18f] mni-558	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01217021","NCT01217021")						0
[18f] mni-946	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03071224","NCT03071224")						1
[18f] pbr06	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01028209","NCT01028209")						0
[18f] pbr111	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01209156","NCT01209156")						0
[18f]-dopa	other	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02495649","NCT02495649")						0
[18f]-feppa	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00970333","NCT00970333")						0
[18f]-fmh3	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01268020","NCT01268020")						0
[18f]-ro6958948	diagnostic test	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03174938","NCT03174938")						1
[18f]apn-1607	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04141150","NCT04141150")						1
[18f]av-1451	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04080544","NCT04080544")						0
[18f]av-45 pet	radiation	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01325259","NCT01325259")						0
[18f]av-45 pet amyloid binding imaging	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01238458","NCT01238458")						0
[18f]azd4694	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00991419","NCT00991419")						0
[18f]dpa-714 pet	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02405403","NCT02405403")						0
[18f]dpa-714 pet scan	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03230526","NCT03230526")						0
[18f]dpa-714 pet/ [18f]av-45 pet/neuropsychological assessment	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02062099","NCT02062099")						0
[18f]fdopa	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT04246437","NCT04246437")						0
[18f]florbetapir	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03080051","NCT03080051")						1
[18f]flutemetamol	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01672827","NCT01672827")						0
[18f]fpeb	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT00870974","NCT00870974")						0
[18f]gsk2647544 iv bolus	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01924858","NCT01924858")						0
[18f]gtp1	drug	3	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02640092","NCT02640092")						2
[18f]mk-3328	drug	2	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01385033","NCT01385033")						0
[18f]mk-6240, ~160 mbq	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02562989","NCT02562989")						0
[18f]mk-6240, ~185 mbq	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT02562989","NCT02562989")						0
[18f]mk-9470	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT01462708","NCT01462708")						0
[18f]mni-1020	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03239561","NCT03239561")						0
[18f]mni-1126	drug	1	=HYPERLINK("https://clinicaltrials.gov/ct2/show/NCT03587649","NCT03587649")						0
