nct	intervention_name	intervention_type
NCT02799381	optimized antiparkinsonian treatment	drug
NCT02588677	masitinib (4.5)	drug
NCT02588677	riluzole	drug
NCT02588677	placebo	drug
NCT02588677	masitinib (3.0)	drug
NCT01849770	mexiletine	drug
NCT01849770	placebo	drug
NCT02704195	unilateral reduction of stimulation	procedure
NCT02704195	chronic subthalamic nucleus stimulation	procedure
NCT00745030	rozerem	drug
NCT00745030	placebo	drug
NCT03482882	pimavanserin	drug
NCT02968433	infusions of young plasma	drug
NCT02885194	laser-evoked potential	other
NCT02092181	mirabegron	drug
NCT02092181	placebo	drug
NCT03987464	planning for the future	behavioral
NCT03987464	enhanced medical engagement	behavioral
NCT03987464	confidence building and social engagement	behavioral
NCT03987464	physical intervention	behavioral
NCT03987464	medical adherence	behavioral
NCT02549859	dbs	device
NCT00096720	levodopa	drug
NCT00096720	mirapex (pramipexole)	drug
NCT00096720	[123i]ß-cit and spect imaging	procedure
NCT01931488	mibg label with i123 or i124	other
NCT01931488	spect imaging	device
NCT01390402	fludarabine	drug
NCT01390402	busulfan	drug
NCT01390402	nk cell infusion:	procedure
NCT01390402	interleukin-2	drug
NCT01390402	anti-thymocyte globulin	drug
NCT01390402	allogeneic related stem cell transplant	procedure
NCT01390402	tacrolimus	drug
NCT01390402	methotrexate	drug
NCT01390402	g-csf	drug
NCT00660387	levodopa carbidopa intestinal gel (lcig)	drug
NCT00660387	placebo gel	drug
NCT00660387	levodopa-carbidopa (lc) oral encapsulated immediate release (ir) tablets	drug
NCT00660387	placebo (pbo) oral capsules	drug
NCT00660387	cadd-legacy® 1400 ambulatory infusion pump	device
NCT00660387	peg tube	device
NCT00660387	j-tube	device
NCT03044249	mp-101	drug
NCT03044249	placebo	drug
NCT00810628	cognitive behavioral therapy	behavioral
NCT00231946	vp4896	drug
NCT03689764	interactive video game-based exercise	other
NCT03689764	no intervention	other
NCT01928420	drug: nic5-15	drug
NCT01928420	placebo	drug
NCT02705755	td-9855	drug
NCT02705755	placebo	drug
NCT03892382	rtms	device
NCT00480818	sam-531	drug
NCT02288000	memantine	drug
NCT02288000	placebo	drug
NCT02103673	daoib	drug
NCT02103673	placebo	drug
NCT03305588	unframed virtual cone	device
NCT02115802	activa pc+s	device
NCT02849639	placebo	other
NCT02849639	medication therapy management (mtm)	other
NCT02849639	scopolamine patch	drug
NCT03970239	positron emission tomography using [11 carbon]-3-amino-4-(2-dimethylaminomethylphenylsulfanyl)-benzonitrile ([11c]-dasb) and [18 fluorine]-altanserin ([18f]-altanserin)	drug
NCT03970239	positron emission tomography using [18 fluorine]-altanserin ([18f]-altanserin)	drug
NCT03781167	abbv-951	drug
NCT00069186	creatine monohydrate	drug
NCT00042172	donepezil	drug
NCT00042172	ginkgo biloba extract	drug
NCT01668407	robot-assisted gait training (ragt)	device
NCT01668407	treadmill gait training (tt)	procedure
NCT04045990	repetitive transcranial magnetic stimulation (rtms)	device
NCT00286897	e2007	drug
NCT00505843	mk0657	drug
NCT00505843	comparator: placebo (unspecified)	drug
NCT00505843	comparator: levodopa	drug
NCT00505843	comparator: carbidopa	drug
NCT01190735	caffeine alkaloid	drug
NCT00867828	neptune krill oil	dietary supplement
NCT00867828	fish oil	dietary supplement
NCT00867828	placebo (soy oil)	dietary supplement
NCT01023282	acr325	drug
NCT01023282	placebo	drug
NCT03076632	cervical plus transcranial stimulation	device
NCT03076632	cervical stimulation plus hand/wrist exercise	device
NCT03076632	electromyographic (emg)-triggered (closed-loop) stimulation	device
NCT03718494	f-18 av-1451 pet	combination product
NCT03718494	f-18 florbetapir	combination product
NCT00559871	fipamezole	drug
NCT00403104	ono-2506po	drug
NCT00403104	ono-2506po	drug
NCT01742182	light exposure	other
NCT01049555	actigraphy and video recording signal	other
NCT03287765	18f-av-1451	drug
NCT02299154	psychological questionnaires	behavioral
NCT04169126	f-18 pmpbb3	drug
NCT00009191	sertraline [zoloft]	drug
NCT03378453	pet-scan18f-av-45	device
NCT03378453	pet-scan18f-av-45	device
NCT02360657	jnj-54861911, 10 mg	drug
NCT02360657	jnj-54861911, 50 mg	drug
NCT02360657	placebo	drug
NCT02648737	cognitive behavioural therapy (cbt)	behavioral
NCT02648737	clinical monitoring	other
NCT00650104	ropinirole xl (formerly cr)	drug
NCT03344601	physical activity	behavioral
NCT03757351	dnl747	drug
NCT03757351	placebo	drug
NCT01530438	mri + 18fdg-pet + neuropsychological assessments ; 18fdg performed especially for the research	other
NCT02278354	18f-av-1451	drug
NCT02908815	rtms active treatment	device
NCT02908815	rtms sham treatment	device
NCT03520517	bhv-0223	drug
NCT00004670	pallidotomy	procedure
NCT00409279	information, counseling and support	behavioral
NCT00875446	placebo	drug
NCT00875446	gsk1223249	drug
NCT03684122	injection of umbilical cord derived mscs	biological
NCT02549573	apokyn	drug
NCT02549573	physical therapy	behavioral
NCT02080364	azeliragon	drug
NCT02080364	placebo	drug
NCT02754830	ly3303560 - iv	drug
NCT02754830	saline solution - iv	drug
NCT02754830	ly3303560 - sc	drug
NCT03964272	exablate bilateral subthalamotomy	device
NCT01568099	affitope® pd01a	biological
NCT01568099	control	other
NCT02515136	stimulus-response	behavioral
NCT00779155	the resonator	device
NCT00779155	the resonator control	device
NCT01835782	l-serine	drug
NCT01148498	solanezumab	drug
NCT01744496	rotigotine	drug
NCT01744496	placebo	drug
NCT01227564	acc-001 3 μg/ qs-21 50 μg	biological
NCT01227564	acc-001 10 μg/ qs-21 50 μg	biological
NCT01227564	placebo- phosphate buffered saline (pbs)	other
NCT04010175	control - cognitive training in a practitioner's office one time per week	behavioral
NCT04010175	experimental group 1 - cognitive training in a practitioner's office one time per week and cognitive distance training one time per week	behavioral
NCT04010175	experimental group 2 - cognitive training in a practitioner's office one time per week and cognitive distance training four times per week	behavioral
NCT04206670	in-home technology system and questionnaires	device
NCT04206670	waiting control in-home technology system and questionnaires	device
NCT00203177	rasagiline mesylate	drug
NCT00203177	rasagiline mesylate 1.0 mg	drug
NCT03250741	rotigotine transdermal patch	drug
NCT03250741	placebo	other
NCT03824197	evoo	other
NCT03824197	oo	other
NCT04240899	tele-yoga	other
NCT01935518	fasudil	drug
NCT03377309	fycompa	drug
NCT00731224	rivastigmine transdermal patch	drug
NCT01815112	magnetic resonance imaging	other
NCT01815112	positron emission tomography	other
NCT03855319	smr neurofeedback training to mci	behavioral
NCT03563807	golf instruction	other
NCT03563807	tai chi class	other
NCT03384043	smartphone personal assistant	behavioral
NCT03384043	implementation intention	behavioral
NCT01960985	physicaltherapy	other
NCT03634007	aavrh.10hpoe2 vector	biological
NCT03707262	donor cd34+ and cd3+ cells	biological
NCT01421719	cystoscopic injection of botox into the urinary bladder	drug
NCT00165789	e2007	drug
NCT00842816	st101	drug
NCT00842816	st101	drug
NCT00842816	st101	drug
NCT00842816	placebo	drug
NCT01439100	oxycodone/naloxone prolonged release tablets	drug
NCT01439100	placebo	drug
NCT01955889	mobile health technology	behavioral
NCT01955889	stretching & strengthening exercises	behavioral
NCT01955889	walking with pedometer	behavioral
NCT00874939	mk-0249 7.5 mg	drug
NCT00874939	mk-0249 25 mg	drug
NCT00874939	donepezil 5mg	drug
NCT00874939	placebo to mk-0249	drug
NCT00874939	placebo to donepezil	drug
NCT03014050	e-tapper tt-r1	device
NCT03645031	acute intermittent hypoxia	other
NCT03645031	sham acute intermittent hypoxia	other
NCT04176224	mt-1186	drug
NCT00599469	far infrared radiation (5μm to 20μm wavelength)	radiation
NCT03773016	art apps	behavioral
NCT01055561	acupuncture	other
NCT01900665	solanezumab	drug
NCT01900665	placebo	drug
NCT01770145	apokyn	drug
NCT01770145	l-dopa	drug
NCT01770145	trimethobenzamide	drug
NCT00111982	liatermin	biological
NCT03330470	exercise	behavioral
NCT03330470	carnosine supplementation	dietary supplement
NCT03330470	stretching	behavioral
NCT03330470	supplementation with placebo	dietary supplement
NCT03108846	escitalopram	drug
NCT03108846	placebo	drug
NCT03887481	high-definition active tdcs (hd-tdcs) + language/cognitive intervention(s)	device
NCT03887481	sham + language/cognitive intervention(s)	device
NCT01747213	bnc	drug
NCT01747213	placebo	other
NCT02447952	faros sensor (fs) and lifeinsight hub	device
NCT02447952	fast fix electrode patch	device
NCT02447952	quantitative measure of speech (core phase only)	procedure
NCT01661660	observationnal	other
NCT01082653	autologous bone marrow-derived stem cells	biological
NCT02675270	phonological	behavioral
NCT02675270	orthographic	behavioral
NCT02675270	semantic	behavioral
NCT02675270	lexical	behavioral
NCT02675270	untrained	behavioral
NCT02006615	rtms	device
NCT03205956	levodopa	drug
NCT04213391	sulforaphane	dietary supplement
NCT04213391	placebo	dietary supplement
NCT03973502	18f-dopa pet	drug
NCT00016458	anti-thymocyte globulin	drug
NCT00016458	cyclophosphamide	drug
NCT03882398	balance	other
NCT03882398	endurance	other
NCT00224263	lingzhi (ganoderma)	drug
NCT03127475	transcranial direct current stimulation	device
NCT01716637	etanercept	biological
NCT01716637	curcum.luteol.theaflav.lip.acid,fishoil,quercet.,resveratr.	dietary supplement
NCT01982578	genistein	dietary supplement
NCT01982578	placebo	other
NCT00443014	cognitive, physical and social stimulation	device
NCT00762814	gait tests with and without the use of a tactile sensory cue (electrical stimulation using a tens unit)	device
NCT02647372	subthalamic nucleus	procedure
NCT02647372	globus pallidus	procedure
NCT03896698	transcranial ultrasound stimulation	device
NCT01385033	[18f]mk-3328	drug
NCT02353598	crenezumab dose level 1	drug
NCT02353598	crenezumab dose level 2	drug
NCT02353598	crenezumb dose level 3	drug
NCT02353598	placebo	drug
NCT03594123	brexpiprazole	drug
NCT03594123	brexpiprazole	drug
NCT01782638	deep brain stimulation	behavioral
NCT03024944	18f-thk-5351	drug
NCT00916383	350 mg donepezil transdermal patch	drug
NCT00916383	placebo patch	drug
NCT00371059	memantine	drug
NCT00371059	placebo	drug
NCT02175082	cycling at forced rate	other
NCT02175082	cycling at self-selected rate	other
NCT03320681	electrical stimulation	device
NCT03320681	dry needling stimulation	other
NCT01163942	g-csf	drug
NCT01163942	early retreatment with atg	drug
NCT03093389	bia 6-512	drug
NCT03093389	placebo	drug
NCT02795663	nirs eeg hr recording	device
NCT04302870	memantine hydrochloride oral solution	drug
NCT04302870	trazodone hydrochloride oral solution	drug
NCT04302870	placebo oral solution	drug
NCT02408562	i.c.v. infusion of snn0031 by an implanted infusion system	other
NCT02408562	i.c.v. infusion of acsf by an implanted infusion system	other
NCT03811847	methylphenidate extended release oral capsule	drug
NCT03811847	placebo	other
NCT00860951	brain computer interface keyboard	device
NCT02753621	group singing	behavioral
NCT02753621	facilitated discussion group	behavioral
NCT03912571	structural 3t mri	diagnostic test
NCT03912571	mri based perfusion imaging	diagnostic test
NCT03912571	vr-co2 mri scans	diagnostic test
NCT02997982	valaciclovir 500mg tablet	drug
NCT02834507	placebo	drug
NCT02834507	bia 3-202	drug
NCT02834507	comtan®	drug
NCT02834507	sinemet®	drug
NCT03591302	hematopoietic cell transplantation	biological
NCT03591302	total lymphoid irradiation	radiation
NCT04108520	exercise	other
NCT02741947	levodopa benserazide madopar	drug
NCT02741947	levodopa benserazide teva italia	drug
NCT00243932	coenzyme q10	drug
NCT00243932	placebo	drug
NCT03413384	ceftriaxone	drug
NCT03413384	placebo	other
NCT04280861	multicomponent intervention	other
NCT03249688	regular health advice	other
NCT03249688	multidomain lifestyle	behavioral
NCT03249688	medical food	dietary supplement
NCT03929406	brain tissue imprint	device
NCT00095810	aripiprazole	drug
NCT03545789	[18f]mni-958	drug
NCT02875041	transcranial magnetic stimulation (tms)	device
NCT02875041	magstim rapid2	device
NCT01850381	gm608	drug
NCT01850381	placebo comparator	drug
NCT03621046	zolpidem	drug
NCT03621046	placebo	other
NCT01037686	injection of 15mci of tc-ecd and scanning by spect camera	radiation
NCT01037686	semantic verbal fluency task performance	behavioral
NCT01037686	turning off the stimulator	device
NCT00298597	granulocyte - colony stimulating factor (g-csf)	drug
NCT00298597	erythropoetin (epo)	drug
NCT02767609	magnetic resonance imaging	device
NCT04250376	focused transcranial ultrasound	device
NCT04243304	11c-ucb-j pet-ct	other
NCT04243304	18f-pe2i pet-mr	other
NCT03503669	memory training	behavioral
NCT03503669	kundalini yoga and meditation	behavioral
NCT03090516	ginkgo biloba dispersible tablets	drug
NCT03090516	donepezil	drug
NCT03090516	ginkgo biloba dispersible tablets and donepezil	drug
NCT00925847	lithium	drug
NCT03659422	modified paleolithic diet	other
NCT01708304	rdad	behavioral
NCT03095105	200 mg bia 6-512	drug
NCT02569398	atabecestat, 5 mg	drug
NCT02569398	atabecestat, 25 mg	drug
NCT02569398	placebo	drug
NCT00957203	istradefylline	drug
NCT00993291	frequency change to 60 hz	procedure
NCT00993291	frequency change to 130 hz	procedure
NCT02051790	florbetapir f 18	drug
NCT02503930	active tdcs	device
NCT02503930	sham tdcs	device
NCT00641186	sodium oxybate	drug
NCT01872598	masitinib	drug
NCT01872598	placebo	drug
NCT03296176	blood sample	biological
NCT04251728	automated mechanical peripheral stimulation	device
NCT04251728	physical exercise	other
NCT04251728	sham	device
NCT00482053	autologous hematopoietic stem cell transplantation (auto-hsct)	procedure
NCT00482053	allogeneic hematopoietic stem cell transplantation (allo-hsct)	procedure
NCT00482053	total lymphoid irradiation (tli)	procedure
NCT00482053	rituximab	drug
NCT00482053	carmustine	drug
NCT00482053	etoposide	drug
NCT00482053	filgrastim	drug
NCT00482053	anti-thymocyte globulin (atg)	drug
NCT00482053	cyclosporine	drug
NCT00482053	mycophenolate mofetil (mmf)	drug
NCT00482053	cyclophosphamide	drug
NCT00482053	acetaminophen	drug
NCT00482053	diphenhydramine	drug
NCT00482053	hydrocortisone	drug
NCT00482053	methylprednisolone	drug
NCT02085265	perindopril	drug
NCT02085265	telmisartan	drug
NCT02046863	automated programming	device
NCT00506415	rivastigmine 5 cm^2	drug
NCT00506415	rivastigmine 10 cm^2	drug
NCT00506415	rivastigmine 15 cm^2	drug
NCT00506415	placebo to 15 cm^2 patch	drug
NCT00506415	placebo to 10 cm^2 patch	drug
NCT03876327	fecal microbial transplantation	procedure
NCT01723488	[f18] t808	radiation
NCT03030105	bpn14770	drug
NCT03030105	bpn14770 placebo	drug
NCT03030105	donepezil	drug
NCT03030105	donepezil placebo	drug
NCT03030105	scopolamine 0.6 mg/ml	drug
NCT03030105	scopolamine placebo	drug
NCT03987295	al001	drug
NCT02317523	behavioral activation	behavioral
NCT02317523	information and support	behavioral
NCT02453061	triheptanoin oil	drug
NCT02453061	placebo	drug
NCT01908010	abt-354	drug
NCT01908010	abt-354	drug
NCT01908010	placebo	drug
NCT03838952	herbal medicine	drug
NCT03887338	transnasal fiberoptic laryngoscopy	other
NCT00675077	far infrared radiation	radiation
NCT01056614	fludarabine phosphate	drug
NCT01056614	busulfan	drug
NCT01056614	anti-thymocyte globulin	biological
NCT01056614	tacrolimus	drug
NCT01056614	methotrexate	drug
NCT01056614	peripheral blood stem cell transplantation	procedure
NCT01056614	allogeneic hematopoietic stem cell transplantation	procedure
NCT01056614	laboratory biomarker analysis	other
NCT01117948	lornoxicam	drug
NCT01117948	placebo	drug
NCT02565511	cad106 immunotherapy	biological
NCT02565511	placebo to cad106	other
NCT02565511	cnp520	drug
NCT02565511	placebo to cnp520	other
NCT03205488	cohort 1:nilotinib oral capsules (150mg or 300mg)	drug
NCT03205488	cohort 2: nilotinib oral capsules (dose to be determined from cohort 1)	drug
NCT03205488	placebo	drug
NCT03049033	neurologic music therapy	other
NCT03049033	occupational therapy	other
NCT03049033	music supported therapy	other
NCT00209508	gpi 1485	drug
NCT04244513	deep brain stimulation	device
NCT02817074	mind diet	behavioral
NCT02817074	mild weight loss	behavioral
NCT01887054	tower of hanoi	device
NCT01887054	placebo group - non use of tower of hanoi	other
NCT00668564	stem cell transplantation	procedure
NCT00668564	cyclophosphamide	drug
NCT00668564	campath-1h	drug
NCT00668564	busulfan	drug
NCT02147652	personalized music	other
NCT01768832	treadmill	behavioral
NCT01768832	tango	behavioral
NCT01768832	stretching	behavioral
NCT00469456	memantine	drug
NCT00469456	placebo	drug
NCT01014858	donepezil	drug
NCT03272802	edaravone	drug
NCT03272802	riluzole	drug
NCT00552474	libra deep brain stimulation system	device
NCT00552474	libra deep brain stimulation system	device
NCT00934557	atg fresenius	drug
NCT00934557	atg fresenius	drug
NCT00934557	atg fresenius	drug
NCT00934557	atg fresenius	drug
NCT00934557	atg fresenius	drug
NCT00934557	atg fresenius	drug
NCT00934557	atg fresenius	drug
NCT00934557	atg fresenius	drug
NCT01746381	non-invasive home ventilation	device
NCT03506672	approach based on the meanings of vocal behaviours	other
NCT03506672	usual practices	other
NCT03607695	gait training	other
NCT02710487	remsa	behavioral
NCT02710487	nremsa	behavioral
NCT01782222	rotigotine	drug
NCT01782222	placebo	other
NCT00788047	dextromethorphan	drug
NCT00788047	dimebon + dextromethorphan	drug
NCT02405403	[18f]dpa-714 pet	drug
NCT02984137	testing, evaluation, sampling	other
NCT01818661	av-1451	drug
NCT04301492	vortioxetine	drug
NCT03329508	p2b001	drug
NCT03329508	rasagiline	drug
NCT03329508	pramipexole	drug
NCT03329508	pramipexole er	drug
NCT01693081	vr040/aspirair® inhaler	drug
NCT01693081	placebo	drug
NCT02103465	rotigotine	drug
NCT02103465	placebo	drug
NCT03786471	health system-based dementia care	other
NCT03786471	community-based dementia care	other
NCT03786471	enhanced usual care	other
NCT03378037	acupuncture	procedure
NCT01222351	bay 94-9172 (florbetaben)	drug
NCT02231905	bi-sifrol®	drug
NCT02638519	traditional proton fmri	other
NCT02638519	hyperpolarized xenon-129 fmri	other
NCT02638519	hyperpolarized xenon-129	drug
NCT02638519	1h-129xe dual-tuned quadrature head coil	device
NCT01600469	daoi-b	drug
NCT01600469	placebo	other
NCT00256204	rasagiline mesylate	drug
NCT00256204	rasagiline mesylate	drug
NCT00256204	placebo	other
NCT04047498	alternating dbs	device
NCT02990676	computerised cognitive training	behavioral
NCT03575195	rifaximin	drug
NCT03575195	placebo	other
NCT03092050	guided imagery and mindfulness	behavioral
NCT03092050	facilitated discussion	behavioral
NCT03129269	mri and pet scan	procedure
NCT00086294	intravenous levodopa	drug
NCT00086294	acp-103	drug
NCT00838877	radioligand [18f]azd4694	drug
NCT00838877	radioligand [11c]azd2184	drug
NCT00249158	risperidone	drug
NCT03819699	lu af20513	drug
NCT03819699	booster vaccine	biological
NCT04041661	active tdcs plus gait training	other
NCT04041661	sham tdcs plus gait training	other
NCT00825084	dimebon	drug
NCT00825084	dimebon	drug
NCT00825084	dimebon	drug
NCT00825084	dimebon	drug
NCT00065767	raloxifene	drug
NCT03295786	cerebral dopamine neurotrophic factor	drug
NCT03295786	renishaw drug delivery system	device
NCT00260624	escitalopram (lexapro)	drug
NCT02670083	crenezumab	drug
NCT02670083	placebo	drug
NCT01979432	cardiovascular evaluation	other
NCT03848897	metrology of motor behavior	other
NCT03314597	balance exercise	other
NCT03314597	mobile platform exercise	other
NCT02931097	deep brain stimulation	device
NCT02931097	sham stimulation	device
NCT02955706	acetyl-l-carnitine	drug
NCT02955706	placebo of acetyl-l-carnitine	drug
NCT01879241	rasagiline	drug
NCT01879241	placebo	drug
NCT04135924	rehabilitation	other
NCT01259050	zinc and copper	drug
NCT02840045	high-density electroencephalography	device
NCT03334786	flx-787-odt	drug
NCT02874209	sodium mri	other
NCT01767129	avp-923-45	drug
NCT01767129	placebo	drug
NCT04078217	jintronix	device
NCT04078217	booklet	other
NCT04043403	open loop dbs (summit rc+s)	device
NCT04043403	adaptive (closed loop) dbs (summit rc+s)	device
NCT04043403	intermittent open loop dbs (summit rc+s)	device
NCT03211260	equistasi	device
NCT02260141	d-ribose	dietary supplement
NCT01929317	ropinirole cr 2mg tablet	drug
NCT01929317	ropinirole cr 8mg tablet	drug
NCT01929317	ropinirole cr matching placebo tablet	drug
NCT02667496	sargramostim gz402664	drug
NCT02667496	placebo	drug
NCT02667496	florbetapir f18	drug
NCT03826134	[11c]pxt012253	drug
NCT00047723	minocycline	drug
NCT03901456	care to plan	behavioral
NCT03901456	usual care	behavioral
NCT01462708	[18f]mk-9470	drug
NCT03688126	self-guided lifestyle intervention	behavioral
NCT03688126	structured lifestyle intervention	behavioral
NCT02518243	patient's answer with non pharmacological therapeutic	other
NCT02092168	bia 9-1067	drug
NCT00220272	sr57667b	drug
NCT01914965	bupropion	drug
NCT01914965	placebo	drug
NCT00009048	emd 128130	drug
NCT00009048	iv levodopa	drug
NCT02707458	probucol	drug
NCT01181921	galantamine	drug
NCT00267163	donepezil	drug
NCT00267163	placebo	drug
NCT00987090	clinic and neuropsychologic evaluation	biological
NCT00987090	mri	radiation
NCT00987090	pet	procedure
NCT00987090	apolipoprotein e genotyping	biological
NCT00987090	study of cerebrospinal fluid	biological
NCT02819011	mbb afo	device
NCT02819011	control	other
NCT00415519	mci-186	drug
NCT00415519	placebo of mci-186	drug
NCT01375413	physical therapy	behavioral
NCT02356536	agilitas	device
NCT00857506	florbetapir f 18	drug
NCT03602391	scp plus	behavioral
NCT00259467	home-based behavorial intervention	behavioral
NCT03972969	facility-based structured exercise	behavioral
NCT03972969	home-based structured exercise	behavioral
NCT03972969	health education	behavioral
NCT01108029	memantine	drug
NCT01108029	placebo	drug
NCT01971242	exenatide	drug
NCT01971242	placebo	other
NCT01470859	pramipexole	drug
NCT01470859	sinemet cr	drug
NCT00381381	donepezil	drug
NCT04218968	carvedilol	drug
NCT01284699	gamma knife radiosurgery	procedure
NCT02756858	anavex2-73	drug
NCT00580593	bipap® s/t system	device
NCT00580593	sham-nippv	other
NCT03721042	olfactory measuring device	device
NCT03270657	ipg; rc+s	device
NCT01711866	rotigotine	drug
NCT00954590	dimebon (latrepirdine)	drug
NCT00954590	placebo	drug
NCT02393027	[18f] lbt-999 pet	drug
NCT02471196	orm-12741	drug
NCT02471196	orm-12741	drug
NCT02471196	placebo	drug
NCT01397539	biib037	drug
NCT01397539	placebo	other
NCT00589563	anti-thymocyte globulin	biological
NCT00589563	cyclophosphamide	drug
NCT00589563	etoposide	drug
NCT00589563	fludarabine phosphate	drug
NCT00589563	melphalan	drug
NCT00589563	methotrexate	drug
NCT00589563	sirolimus	drug
NCT00589563	tacrolimus	drug
NCT00589563	allogeneic hematopoietic stem cell transplantation	procedure
NCT00589563	hematopoietic stem cell transplantation	procedure
NCT00589563	nonmyeloablative allogeneic hematopoietic stem cell transplantation	procedure
NCT00589563	peripheral blood stem cell transplantation	procedure
NCT00589563	total-body irradiation	radiation
NCT03815916	gold nanocrystals	drug
