intervention_name	intervention_type	n_trials	example_trial	intervention_class	target_gene	target_gene_comments	regulatory_status	comment	priority
1 mg tropicamide	drug	1	NCT00761137	molecular	CHRM4		approved, Investigational		FALSE
Laser Cane	device	1	NCT00320242	device					FALSE
1-month of 60-40 mct oil	dietary supplement	1	NCT02709356	molecular	PPARA	DrugBank says questionable	supplements		FALSE
1-month of c8 mct oil	dietary supplement	1	NCT02709356	molecular	PPARA	DrugBank says questionable	supplements		FALSE
1-month pilot trial of closed-loop DBS vs. open-loop stimulation	device	1	NCT03582891	device					FALSE
1. amyloid pet；2. t807 pet	drug	1	NCT03969732	molecular		radiopharmaceutical			FALSE
1. tesofensine (ns 2330)	drug	1	NCT00148512	molecular	SLC6A4	DrugBank says questionable	experimental		FALSE
1.0 mg lu ae04621	drug	1	NCT02649608	molecular		dopamine receptor agonist, need to find the actual drug target	experimental		FALSE
1.0 mg rasagiline mesylate	drug	1	NCT00203034	molecular	MAOB		approved		FALSE
1.0 miu il-2 per day	drug	1	NCT02059759	molecular		?	experimental		FALSE
1.2 mg lu ae04621	drug	1	NCT02649608	molecular		dopamine receptor agonist, need to find the actual drug target	experimental		FALSE
10 daily fractions of 2 gy	radiation	1	NCT02359864						FALSE
10 gy in 5 daily fractions	radiation	1	NCT02769000						FALSE
10 mg ir donepezil (immediate release)	drug	1	NCT00566501	molecular	ACHE		approved		FALSE
10% unweighed bwstt	behavioral	1	NCT03799887	behavioral					FALSE
100 million cells allogeneic hmsc	biological	1	NCT04040348	molecular		none			FALSE
1072nm infrared photobiomodulation	device	1	NCT01059877	device					FALSE
10hz tms with h2 coil to prefrontal and parieto-temporal cortex	device	1	NCT00753662	device					FALSE
111in ibritumomab	drug	1	NCT01490723	molecular	MS4A1		approved		FALSE
11c-er176	drug	2	NCT03958630	molecular		radiopharmaceutical			FALSE
11c-jnj-63779586	drug	1	NCT03089918	molecular		radiopharmaceutical			FALSE
11c-l-deprenyl-d2	drug	1	NCT01701089	molecular		radiopharmaceutical			FALSE
11c-methylreboxetine	drug	1	NCT03648905	molecular		radiopharmaceutical			FALSE
11c-pbr28	drug	2	NCT02831283	molecular		radiopharmaceutical			FALSE
11c-pib	drug	5	NCT03757910	molecular		radiopharmaceutical			FALSE
11c-pib pet scan	radiation	1	NCT00811122	molecular		radiopharmaceutical			FALSE
11c-ucb-j pet-ct	other	1	NCT04243304	molecular		radiopharmaceutical			FALSE
12-month study visit	behavioral	1	NCT03882879	behavioral				Do we include these?	FALSE
123 i - altropane®	drug	1	NCT00724906	molecular		radiopharmaceutical			FALSE
123-i mni-168	drug	1	NCT00870519	molecular		radiopharmaceutical			FALSE
123-i mni-187 injection and imaging procedures	drug	1	NCT00456417	molecular		radiopharmaceutical			FALSE
123-i mni-340	drug	1	NCT00968097	molecular		radiopharmaceutical			FALSE
123i-mibg	diagnostic test	1	NCT03094910	molecular		radiopharmaceutical			FALSE
13n-ammonia	drug	1	NCT03648905	molecular		radiopharmaceutical			FALSE
15 mg qd de-escalated to 7 mg qd pf-06649751 in parent study remain at 7 mg qd	drug	1	NCT03185481	molecular	DRD1		experimental	aka Tavapadon	FALSE
15 mg qd pf-06649751	drug	1	NCT03185481	molecular	DRD1		experimental	aka Tavapadon	FALSE
15mg t3d-959	drug	1	NCT04251182	molecular		PPARA ?, double check			FALSE
18-f-flortaucipir	diagnostic test	1	NCT03821857	molecular		radiopharmaceutical			FALSE
18-fdg pet	radiation	1	NCT01325259	molecular		radiopharmaceutical			FALSE
18-fdg-pet	device	1	NCT03150290	molecular		radiopharmaceutical			FALSE
18-fdtbz	drug	1	NCT02599753	molecular		radiopharmaceutical			FALSE
18f- dtbz	drug	1	NCT02039024	molecular		radiopharmaceutical			FALSE
18f-av-133	drug	2	NCT01550484	molecular		radiopharmaceutical			FALSE
18f-av-1451	drug	15	NCT03287765	molecular		radiopharmaceutical			FALSE
18f-av-1451 (tau-pet tracer)	other	1	NCT02958670	molecular		radiopharmaceutical			FALSE
18f-av-45	drug	2	NCT03040713	molecular		radiopharmaceutical			FALSE
18f-dopa	drug	2	NCT03042416	molecular		radiopharmaceutical			FALSE
18f-dopa pet	drug	1	NCT03973502	molecular		radiopharmaceutical			FALSE
18f-dopamne	drug	1	NCT03648905	molecular		radiopharmaceutical			FALSE
18f-dtbz	drug	3	NCT01759888	molecular		radiopharmaceutical			FALSE
18f-dtbz av-133	drug	1	NCT01556100	molecular		radiopharmaceutical			FALSE
18f-fdg	drug	2	NCT01824056	molecular		radiopharmaceutical			FALSE
18f-florbetaben	drug	2	NCT02831283	molecular		radiopharmaceutical			FALSE
18f-florbetaben (fbb)	drug	1	NCT03057938	molecular		radiopharmaceutical			FALSE
18f-florbetaben pet	device	1	NCT02556502	molecular		radiopharmaceutical			FALSE
18f-florbetapir	device	1	NCT03641768	molecular		radiopharmaceutical			FALSE
18f-florbetapir	drug	1	NCT04305210	molecular		radiopharmaceutical			FALSE
18f-flutemetamol	drug	1	NCT01202994	molecular		radiopharmaceutical			FALSE
18f-mk-6240	drug	3	NCT03757910	molecular		radiopharmaceutical			FALSE
18f-pe2i pet-mr	other	1	NCT04243304	molecular		radiopharmaceutical			FALSE
18f-pm-pbb3	drug	1	NCT04248270	molecular		radiopharmaceutical			FALSE
18f-thk-5351	drug	2	NCT03024944	molecular		radiopharmaceutical			FALSE
18f-x pet scan	radiation	1	NCT00563537	molecular		radiopharmaceutical			FALSE
18fav45	drug	1	NCT01962753	molecular		radiopharmaceutical			FALSE
1h-129xe dual-tuned quadrature head coil	device	1	NCT02638519	device					FALSE
1hz tms with h2 coil	device	1	NCT00753662	device					FALSE
2 ma hd-tdcs	device	1	NCT03875326	device					FALSE
2 mg perampanel	drug	1	NCT00368108	molecular	GRIA1		approved		FALSE
2 mg/day aripiprazole	drug	1	NCT02168920	molecular	HTR1A	HTR1A: pharmacological action unknown. Known pharmacological action: DRD2	approved (repurposed)		FALSE
2 months control condition - 4 months chariot-flash	behavioral	1	NCT02933177						FALSE
2 night polysomnography	other	1	NCT01650454						FALSE
2-hour period of hypoxia	other	1	NCT02891343						FALSE
2-hydroxypropyl-beta-cyclodextrin	drug	1	NCT03471143	molecular			experimental		FALSE
2.0 miu il-2 per day	drug	1	NCT02059759	molecular					FALSE
20 gy in 10 daily fractions	radiation	1	NCT02769000						FALSE
20 mg bid of pf-02545920	drug	1	NCT02342548	molecular	PDE10A	DrugBank says questionable	experimental		FALSE
20% unweighed bwstt	behavioral	1	NCT03799887	behavioral					FALSE
200 mg bia 6-512	drug	1	NCT03095105	molecular	NQO2	DrugBank says questionable	supplements		FALSE
200 million cells allogeneic hmsc	biological	1	NCT04040348	molecular		none			FALSE
20mg daily citalopram	drug	1	NCT00271596	molecular	SLC6A4		approved		FALSE
23 mg donepezil sustained release (sr)	drug	1	NCT00566501	molecular	ACHE		approved		FALSE
240mg amantadine hcl er tablets	drug	1	NCT02153645	molecular	GRIN3A		approved		FALSE
25 mg bia 9-1067 (Opicapone)	drug	1	NCT04265027	molecular	COMT		approved		FALSE
25 mg ongentys  (Opicapone)	drug	1	NCT04265027	molecular	COMT		approved		FALSE
250 mg ck-2017357 (tirasemtiv)	drug	1	NCT01089010	molecular		?	experimental		FALSE
250mg rilapladib	drug	1	NCT01428453	molecular	PLA2G7		experimental		FALSE
3 home visits made by a psychologist	other	1	NCT03606798	behavioral					FALSE
3 ma hd-tdcs	device	1	NCT03875326	device					FALSE
3 mg qd to 15 mg qd pf-06649751 (Tavapadon)	drug	1	NCT03185481	molecular	DRD1		experimental		FALSE
3 mg qd to 7 mg qd pf-06649751 (Tavapadon)	drug	1	NCT03185481	molecular	DRD1		experimental		FALSE
3 mg tropicamide	drug	1	NCT00761137	molecular	CHRM4		approved		FALSE
3 mg/day aripiprazole	drug	1	NCT02168920	molecular	HTR1A	DrugBank says questionable	approved		FALSE
3 months exercise intervention program	behavioral	1	NCT02253732	behavioral					FALSE
3 preventive home visits by a nurse	other	1	NCT01700556						FALSE
30 mg t3d-959	drug	1	NCT04251182	molecular		PPARA ?, double check			FALSE
31-phosphorus rmn spectroscopy	other	1	NCT01696708	other					FALSE
31p-mr spectroscopy	other	1	NCT01359774	other					FALSE
31p-rmn spectroscopy	other	1	NCT01359774	other					FALSE
32 channels deep brain stimulator	device	1	NCT02402569	device					FALSE
320mg amantadine hcl er tablets	drug	1	NCT02153645	molecular	GRIN3A		approved	DB	FALSE
350 mg donepezil transdermal patch	drug	1	NCT00916383	molecular	ACHE		approved	DB	FALSE
3aps (Tramiprosate)	drug	2	NCT00088673	molecular			experimental		FALSE
3t brain scan	device - diagnostic test	1	NCT03389698						FALSE
3t mri	device	1	NCT03070821						FALSE
3t mri compatible and lfp recordable g106r of beijing pins medical.	device	1	NCT02937727						FALSE
4 mg perampanel	drug	1	NCT00368108	molecular	GRIA1		approved	DB	FALSE
4 months control condition-2 months chariot flash	behavioral	1	NCT02933177	behavioral				-	FALSE
40 mg glatiramer acetate	drug	1	NCT00326625	molecular	HLA-DRB1	DrugBank says questionable	approved	DB	FALSE
400mg lm11a-31-bhs	drug	1	NCT03069014						FALSE
45 mg t3d-959	drug	1	NCT04251182						FALSE
5 daily fractions of 2 gy	radiation	1	NCT02359864						FALSE
5% glucose water solution	drug	1	NCT03039673						FALSE
50 hz repetitive tms	procedure	1	NCT00977184						FALSE
50 mg bia 9 1067	drug	1	NCT04265027						FALSE
50 mg ongentys	drug	1	NCT04265027						FALSE
500 mg ck-2017357	drug	1	NCT01089010						FALSE
5000 voldyne ® sherwood medical, usa	device	1	NCT01932684						FALSE
6 mg/day	drug	1	NCT02168920						FALSE
6-month study visit	behavioral	1	NCT03882879						FALSE
7 mg qd to 15 mg qd pf-06649751	drug	1	NCT03185481						FALSE
7 mg qd to 7 mg qd pf-06649751 (de-escalated in parent study)	drug	1	NCT03185481						FALSE
7 tesla mri	device	1	NCT01945853						FALSE
800mg lm11a-31-bhs	drug	1	NCT03069014						FALSE
90y ibritumomabtiuxetan	drug	1	NCT01490723						FALSE
9zest app facilitated exercise	other	1	NCT03459586						FALSE
[11c] pittsburgh compound-b (pib)	drug	1	NCT04134923						FALSE
[11c]-pib	drug	1	NCT00855868						FALSE
[11c]-ucb-j	other	1	NCT03577262						FALSE
[11c]acetoacetate[18f]fluorodeoxyglucose positron emission tomography scan	other	1	NCT03130036						FALSE
[11c]bu99008	radiation	2	NCT02323217						FALSE
[11c]mes-impy	drug	1	NCT00407576						FALSE
[11c]mk-6884	drug	1	NCT02621606						FALSE
[11c]pbr28	drug	1	NCT00459693						FALSE
[11c]pbr28 and[18f]nos	drug	1	NCT04274998						FALSE
[11c]pib	drug	1	NCT01826110						FALSE
[11c]pxt012253	drug	1	NCT03826134						FALSE
[11c]ro6924963	drug	1	NCT02187627						FALSE
[11c]ro6931643	drug	1	NCT02187627						FALSE
[123-i] av-83 injection and imaging procedures	radiation	1	NCT00448799						FALSE
[123i] 5-ia	drug	1	NCT00397696						FALSE
[123i] av 39	drug	1	NCT00439010						FALSE
[123i] av-151	drug	1	NCT00556660						FALSE
[123i] ibvm and spect imaging	drug	1	NCT00556764						FALSE
[123i] impy & spect imaging	drug	1	NCT00287248						FALSE
[123i] mni-308	drug	1	NCT00544453						FALSE
[123i] mzint injection and serial dynamic spect imaging	drug	1	NCT00427674						FALSE
[123i]-ibvm	drug	1	NCT00480701						FALSE
[123i]-ibzm imaging	procedure	1	NCT00200447						FALSE
[123i]av94	drug	1	NCT00605059						FALSE
[123i]b-cit	drug	1	NCT00273351						FALSE
[123i]b-cit spect imaging	drug	1	NCT00134784						FALSE
[123i]clinde	drug	1	NCT00612872						FALSE
[123i]mni-420	drug	1	NCT00970229						FALSE
[123i]mni-672 spect	drug	1	NCT01859767						FALSE
[123i]ß cit	drug	1	NCT00129675						FALSE
[123i]ß cit and spect imaging	drug	1	NCT00117819						FALSE
[123i]ß-cit and spect imaging	drug	1	NCT00132626						FALSE
[123i]ß-cit and spect imaging	procedure	1	NCT00096720						FALSE
[123i]β-cit	drug	2	NCT00387075	other					TRUE
[123i]β-cit and spect imaging	procedure	1	NCT00387075	other					TRUE
[14c]-bia 9-1067	drug	1	NCT03119194						FALSE
[18f] cfpypb	drug	1	NCT01461109						FALSE
[18f] flutemetamol	drug	1	NCT02813070						FALSE
[18f] lbt-999 pet	drug	1	NCT02393027						FALSE
[18f] mni-558	drug	1	NCT01217021						FALSE
[18f] mni-946	drug	1	NCT03071224						FALSE
[18f] pbr06	drug	1	NCT01028209						FALSE
[18f] pbr111	drug	1	NCT01209156						FALSE
[18f]-dopa	other	1	NCT02495649						FALSE
[18f]-feppa	drug	1	NCT00970333						FALSE
[18f]-fmh3	drug	1	NCT01268020						FALSE
[18f]-ro6958948	diagnostic test	1	NCT03174938						FALSE
[18f]apn-1607	drug	1	NCT04141150						FALSE
[18f]av-1451	drug	1	NCT04080544						FALSE
[18f]av-45 pet	radiation	1	NCT01325259						FALSE
[18f]av-45 pet amyloid binding imaging	drug	2	NCT01238458						FALSE
[18f]azd4694	drug	1	NCT00991419						FALSE
[18f]dpa-714 pet	drug	1	NCT02405403						FALSE
[18f]dpa-714 pet scan	drug	1	NCT03230526						FALSE
[18f]dpa-714 pet/ [18f]av-45 pet/neuropsychological assessment	drug	1	NCT02062099						FALSE
[18f]fdopa	drug	1	NCT04246437						FALSE
[18f]florbetapir	drug	3	NCT03080051						FALSE
[18f]flutemetamol	drug	1	NCT01672827						FALSE
[18f]fpeb	drug	1	NCT00870974						FALSE
[18f]gsk2647544 iv bolus	drug	1	NCT01924858						FALSE
[18f]gtp1	drug	3	NCT02640092						FALSE
[18f]mk-3328	drug	2	NCT01385033						FALSE
[18f]mk-6240, ~160 mbq	drug	1	NCT02562989						FALSE
[18f]mk-6240, ~185 mbq	drug	1	NCT02562989						FALSE
[18f]mk-9470	drug	1	NCT01462708						FALSE
[18f]mni-1020	drug	1	NCT03239561						FALSE
[18f]mni-1126	drug	1	NCT03587649						FALSE
[18f]mni-815 (mni-815)	drug	1	NCT02531360						FALSE
[18f]mni-952	drug	1	NCT03080051						FALSE
[18f]mni-958	drug	2	NCT03545789						FALSE
[18f]mppf	drug	1	NCT01461083						FALSE
[18f]nav4694	drug	3	NCT01680588						FALSE
[18f]nos	drug	1	NCT04062526						FALSE
[18f]p16-129	drug	1	NCT03902548						FALSE
[18f]pbr06	drug	1	NCT03876002						FALSE
[18f]pi-2620	drug	2	NCT03903211						FALSE
[18f]ro6958948	drug	2	NCT02187627						FALSE
[18f]t807	drug	1	NCT02370524						FALSE
[18f]t807 ([18f]mni-777)	drug	1	NCT02103894						FALSE
[18f]t807 pet	drug	1	NCT03022968						FALSE
[18f]thk-5351	drug	2	NCT03112096						FALSE
[18fluor]azd4694	other	3	NCT01325402						FALSE
[21cfr640.30] plasma from 18 - 25 year old volunteer donors	biological	1	NCT04202757						FALSE
[^18f]gtp1	other	1	NCT03977584						FALSE
[c-11]	radiation	1	NCT03746366						FALSE
[c-11]pib-pet/mri	drug	1	NCT03503331						FALSE
[f-18]pbr06	drug	1	NCT02649985						FALSE
[f-18]w372	drug	1	NCT00954369						FALSE
[f18] t807	radiation	1	NCT01733355						FALSE
[f18] t808	radiation	1	NCT01723488						FALSE
[f18]-fddnp	other	1	NCT02243982	other					FALSE
[f18]av1451	diagnostic test	1	NCT03939780						FALSE
[f18]mk-6240	diagnostic test	1	NCT03939780						FALSE
[f18]ro-948	diagnostic test	1	NCT03939780						FALSE
[standard stn]	device	1	NCT03470324						FALSE
[standard stn]	procedure	1	NCT02588144						FALSE
[stn+snr]	device	1	NCT03470324						FALSE
[stn+snr]	procedure	1	NCT02588144						FALSE
[year1] dual-task training with task priority strategy	behavioral	1	NCT03895125						FALSE
[year2-3] dual-task training with internal and external focus	behavioral	1	NCT03895125						FALSE
a 12-week health promotion course	other	1	NCT03741543						FALSE
a cranial mri	device	1	NCT02492529						FALSE
a functional exercise program	behavioral	1	NCT01369901						FALSE
a mix of natural treatments and medications	other	1	NCT02260167						FALSE
a neuropsychological evaluation	behavioral	1	NCT02557464						FALSE
a psycho-social intervention	other	1	NCT01681641						FALSE
a stretching exercise program	behavioral	1	NCT01369901						FALSE
a: placebo to match donepezil and mk-3134 + placebo to match scopolamine	drug	1	NCT01181310						FALSE
aab-001	drug	1	NCT00174525						FALSE
aab-003 (pf-05236812)	drug	10	NCT01193608						FALSE
aadvac1	biological	2	NCT02579252						FALSE
aadvac1	drug	1	NCT02031198						FALSE
aadvac1 160 µg	drug	1	NCT03174886						FALSE
aadvac1 40 µg	drug	1	NCT03174886						FALSE
aat and cognitive stimulation and rehabilitation of social tie.	behavioral	1	NCT02829801						FALSE
aav-haadc-2	genetic	2	NCT00229736						FALSE
aav-htert	drug	1	NCT04133454						FALSE
aavrh.10hpoe2 vector	biological	1	NCT03634007	molecular	APOE		investigational		FALSE
abbv-0805	drug	1	NCT04127695						FALSE
abbv-8e12	drug	2	NCT03712787						FALSE
abbv-951	drug	3	NCT03781167						FALSE
abc answers	other	1	NCT03397667						FALSE
abc clinical program	behavioral	1	NCT03119259						FALSE
abdominal strengthening exercise	other	1	NCT03343574						FALSE
ability platform program	other	1	NCT02746484						FALSE
abt-089	drug	8	NCT00069849						FALSE
abt-126	drug	8	NCT00867399						FALSE
abt-288	drug	1	NCT01018875						FALSE
abt-354	drug	2	NCT01908010						FALSE
abt-384	drug	1	NCT01137526						FALSE
abt-957	drug	2	NCT02220738						FALSE
abt-slv187	drug	4	NCT02799381						FALSE
abvac40	biological	1	NCT03461276						FALSE
abvac40	drug	1	NCT03113812						FALSE
abx-cbl	drug	1	NCT00035880						FALSE
ac-1202	drug	1	NCT03635879						FALSE
ac-1204	drug	1	NCT01741194						FALSE
ac-1205	other	1	NCT03635879						FALSE
ac-1206	other	1	NCT03635879						FALSE
ac-1207	other	1	NCT03635879						FALSE
ac-3933	drug	2	NCT00359944						FALSE
acamprosate	drug	1	NCT00640952						FALSE
acc-001	biological	8	NCT01238991						FALSE
acc-001	drug	1	NCT00955409						FALSE
acc-001 (10 mcg) + qs-21	biological	1	NCT00960531						FALSE
acc-001 (vanutide cridificar)	biological	1	NCT01284387						FALSE
acc-001 + qs-21	biological	2	NCT00498602						FALSE
acc-001 + qs21	drug	1	NCT00955409						FALSE
acc-001 10 μg/ qs-21 50 μg	biological	1	NCT01227564						FALSE
acc-001 3 μg/ qs-21 50 μg	biological	1	NCT01227564						FALSE
acc-001+ qs21	drug	1	NCT00955409						FALSE
acc-001+ qs21 (3mcg)	biological	1	NCT00960531						FALSE
acc-001+qs-21 (30mcg)	biological	1	NCT00960531						FALSE
acceptance and commitment therapy group	other	1	NCT02454465						FALSE
accordion pill carbidopa/levodopa	drug	1	NCT03576638						FALSE
accordion pill™ carbidopa/levodopa	drug	2	NCT02615873						FALSE
acetaminophen	drug	4	NCT00482053						FALSE
acetyl-l-carnitine	drug	1	NCT02955706						FALSE
achei	drug	1	NCT01852110						FALSE
acitretin	drug	1	NCT01078168						FALSE
acp specialist program	behavioral	1	NCT03323502						FALSE
acp video program	behavioral	1	NCT02612688						FALSE
acp-103	drug	2	NCT00086294						FALSE
acquisition on kinect	device	1	NCT03113630						FALSE
acquisition on kinect control group	device	1	NCT03113630						FALSE
acquisition on leapmotion	device	1	NCT03113630						FALSE
acquisition on leapmotion control group	device	1	NCT03113630						FALSE
acquisition on touchscreen	device	1	NCT03113630						FALSE
acquisition on touchscreen control group	device	1	NCT03113630						FALSE
acr16	drug	1	NCT00665223						FALSE
acr16 10 mg	drug	1	NCT00724048						FALSE
acr16 22.5 mg	drug	1	NCT00724048						FALSE
acr16 45 mg	drug	1	NCT00724048						FALSE
acr325	drug	1	NCT01023282						FALSE
act	behavioral	1	NCT03313895						FALSE
acthar	drug	1	NCT03068754						FALSE
actigraph	device	1	NCT02741505						FALSE
actigraphy	procedure	2	NCT03053908						FALSE
actigraphy and video recording signal	other	1	NCT01049555						FALSE
actimetry	other	1	NCT04044495						FALSE
actimetry measures	device	1	NCT03213379						FALSE
actimyo recording	device	1	NCT02785978						FALSE
activa pc+s	device	6	NCT02115802						FALSE
activa pc+s neurostimulator	device	1	NCT03180515						FALSE
activa pc+s prefrontal	device	1	NCT03131817						FALSE
activa rc	device	1	NCT00998660						FALSE
activa® pc neurostimulator (model 37601)	device	1	NCT02535884	device					FALSE
active comparator	drug	2	NCT01614886						FALSE
active comparator b	drug	1	NCT01230853						FALSE
active comparator: a	drug	1	NCT01230853						FALSE
active comparator: active tdcs and active tus	device	1	NCT03981055						FALSE
active control	behavioral	4	NCT03786510						TRUE
active control cognitive training	behavioral	1	NCT03836963						FALSE
active control condition	behavioral	1	NCT02525367						FALSE
active deep tms	device	1	NCT02734485						FALSE
active exercise	other	1	NCT01835652						FALSE
active hd-tdcs plus speech-language therapy	device	1	NCT02606422						FALSE
active investigational treatment ent-01	drug	2	NCT03781791						FALSE
active itbs	device	1	NCT03153540						FALSE
active light therapy : light therapy: dayvia lamp 10000 lux	device	1	NCT02072642						FALSE
active monitoring	behavioral	1	NCT01731717						FALSE
active neuro rx gamma device	device	1	NCT03484143						FALSE
active repetitive transcranial magnetic stimulation	device	1	NCT03892863						FALSE
active rtms	device	1	NCT03406429	device					FALSE
active social engagement group	behavioral	1	NCT01571427						FALSE
active tavns	device	1	NCT04157621						FALSE
active tdcs	device	8	NCT02503930						FALSE
active tdcs	procedure	1	NCT02125383						FALSE
active tdcs plus gait training	other	1	NCT04041661						FALSE
active tdcs plus speech-language therapy	device	1	NCT03728582						FALSE
active tpcs	device	1	NCT04054960						FALSE
active treatment with dual therapy	combination product	1	NCT03204500						FALSE
active treatment- ct1812 100 mg	drug	1	NCT03493282						FALSE
active treatment- ct1812 300 mg	drug	1	NCT03493282						FALSE
active-sham	other	1	NCT04289402						FALSE
active: affitope ad02	biological	1	NCT01117818						FALSE
activities of daily living (drinking, washing hand and eating)	behavioral	1	NCT02464852						FALSE
activity matched to both interest and function	behavioral	1	NCT00388544						FALSE
activity matched to function	behavioral	1	NCT00388544						FALSE
activity matched to interest	behavioral	1	NCT00388544						FALSE
activpal	device	1	NCT02878486						FALSE
acupuncture	device	1	NCT02587754	other					TRUE
acupuncture	other	3	NCT03810794	other					TRUE
acupuncture	procedure	4	NCT03378037	other					TRUE
acupuncture and bee venom acupuncture point injection	device	1	NCT01970813						FALSE
acupuncture needle	device	1	NCT03814382						FALSE
acupuncture to treat fatigue in parkinson disease	other	1	NCT01360229						FALSE
acute intermittent hypoxia	other	1	NCT03645031						FALSE
ad-35 30 mg + placebo of ad-35 30 mg	drug	1	NCT03790982						FALSE
ad-35 60 mg	drug	1	NCT03790982						FALSE
ad-35 60mg group	drug	1	NCT03625401						FALSE
ad-only info, in-person disclosure	behavioral	1	NCT00462917						FALSE
ad-only info, phone disclosure	behavioral	1	NCT00462917						FALSE
adaptation and training to non invasive ventilation (niv)	other	1	NCT02537132						FALSE
adaptation of "calm"	behavioral	1	NCT03975608						FALSE
adapted physical activity	other	1	NCT03866018						FALSE
adapted tango dance	other	1	NCT03269149						FALSE
adapted tango dancing	behavioral	1	NCT02457832						FALSE
adaptive (closed loop) dbs (summit rc+s)	device	1	NCT04043403						FALSE
adaptive dbs	device	1	NCT03724734						FALSE
adaptive dbs (activa pc+s neurostimulator)	device	1	NCT02384421						FALSE
adaptive deep brain stimulation	device	1	NCT03422757						FALSE
adaptive working memory training task	behavioral	1	NCT01647698						FALSE
adaptor: hakko adaptor	device	1	NCT01479127						FALSE
adas-cog evaluation	other	1	NCT02377206						FALSE
adbs	device	1	NCT02154724						FALSE
additional sequence performed during mri scan	other	1	NCT03863041						FALSE
adenosine triphosphate	drug	1	NCT02279511						FALSE
adjuvant without active component	biological	1	NCT02267434						FALSE
administration of autologous adipose derived svf	procedure	1	NCT01953523						FALSE
administration of rhytmic acoustic stimuli for gait training	other	1	NCT03228888						FALSE
administration of stable isotope-labelled leucine-	biological	1	NCT02263235						FALSE
adrabetadex	drug	1	NCT03643562						FALSE
ads-5102	drug	3	NCT02202551						FALSE
ads-5102 (extended release amantadine hcl)	drug	1	NCT01397422						FALSE
aducanumab	drug	4	NCT02434718						FALSE
aducanumab (biib037)	drug	4	NCT02477800						FALSE
aducanumab (recombinant, fully human anti-aβ igg1 mab)	drug	1	NCT01677572						FALSE
advance care planning	other	1	NCT03864965						FALSE
advice (e.g. medical and social aspects, care, support at home, residential advice, legal aspects, demonstration of help and support for the relatives)	behavioral	1	NCT00693888						FALSE
adx48621	drug	1	NCT01336088						FALSE
aerobic	behavioral	1	NCT01741584						FALSE
aerobic exercise	behavioral	6	NCT03245216	behavioral					TRUE
aerobic exercise	other	4	NCT01681602	behavioral					TRUE
aerobic exercise group 1	behavioral	1	NCT01129115	behavioral					TRUE
aerobic exercise group 2	behavioral	1	NCT01129115	behavioral					TRUE
aerobic exercise group 3	behavioral	1	NCT01129115	behavioral					TRUE
aerobic exercise training	behavioral	1	NCT02913664	behavioral					TRUE
aerobic exercise training	other	1	NCT01650818	behavioral					TRUE
aerobic exercise-training	behavioral	1	NCT01021644						FALSE
aerobic exercises	other	1	NCT02074215						FALSE
